"Base..Long.Name." "Base..Short.Name." "Base..Abbreviation." "Longitude" "Latitude" "5_Miles" "Std_5_Miles" "10_Miles" "Std_10_Miles" "15_Miles" "Std_15_Miles" "20_Miles" "Std_20_Miles" "25_Miles" "Std_25_Miles" "30_Miles" "Std_30_Miles" "35_Miles" "Std_35_Miles" "40_Miles" "Std_40_Miles" "45_Miles" "Std_45_Miles" "50_Miles" "Std_50_Miles" "55_Miles" "Std_55_Miles" "60_Miles" "Std_60_Miles" "65_Miles" "Std_65_Miles" "70_Miles" "Std_70_Miles" "75_Miles" "Std_75_Miles" "80_Miles" "Std_80_Miles" "85_Miles" "Std_85_Miles" "90_Miles" "Std_90_Miles" "95_Miles" "Std_95_Miles" "100_Miles" "Std_100_Miles"
"Columbus AFB" "columbus" "clmb" -88.4355422 33.6356982 0 0 1197233.235 0.0375186768594872 1514733.15862729 0.0585951481475845 1514733.15862729 0.05816510687061 1219117.066536 0.0523208548501081 1099932.89127539 0.0487678384646659 1006520.48272526 0.0458905696729964 939156.338905154 0.0442105374372454 920572.669798223 0.0433357161058671 941248.165153917 0.044739061753914 952579.365626892 0.0452776522090928 951201.629492636 0.0452121661616581 935984.842348692 0.0447268035951996 925727.117646283 0.0443938452310192 911561.262543077 0.0440704705904621 915019.921802678 0.0447003527963792 891245.149803829 0.0436629817538016 879694.006997753 0.0435810715613638 896360.801078676 0.0444199192566589 897724.335354776 0.0445621839667718
"Creech AFB" "creech" "crch" -115.673355 36.587181 0 0 0 0 0 0 0 0 0 0 0 0 740057.699999998 0.0337416575487193 740057.699999998 0.0348380214200693 8366599.33287503 0.393855461232061 8366599.33287503 0.397678123667357 7992038.49439248 0.37987463559285 7992038.49439248 0.37987463559285 6975447.63430672 0.33332748802358 6975447.63430672 0.334512122191946 6975447.63430672 0.337235984518918 6975447.63430672 0.340763039947691 6975447.63430672 0.341734081636653 6975447.63430672 0.345571846693328 6975447.63430672 0.345674219936979 6975447.63430672 0.346254600091371
"Davis-Monthan AFB" "davis monthan" "dvsm" -110.8605934 32.155285 0 0 15704835.435 0.492155269826927 9284429.86894443 0.359154046729704 9284429.86894443 0.35651814478613 9284429.86894443 0.398459935368893 9284429.86894443 0.411644728216277 9284429.86894443 0.42330760584347 9027829.867729 0.424982714602774 8676175.75900448 0.408428690001448 8547426.11027271 0.40627311557306 8462294.01684056 0.402226648205256 8142515.23936825 0.387027040915094 8008214.2674317 0.38267908889304 7853019.93831028 0.376596672055861 7688726.05106087 0.371720244414604 7651377.21195038 0.373783403620926 7551513.87778189 0.369956136907723 7432571.4725828 0.368218297106586 7383403.58210522 0.36589082271532 7337165.33557827 0.364209923472162
"Dover AFB" "dover" "dovr" -75.4865456 39.1317247 1368130.27490605 0.051133592992871 1368130.27490605 0.0428742171410581 1314550.89349878 0.050851401722733 1302194.24652397 0.0500037033479882 1290605.49626099 0.0553889242404671 1284326.27886524 0.0569433071784957 1262575.55791485 0.0575649602788353 1295318.17344068 0.0609767620445427 1291558.35673643 0.060799769662897 1316710.16993361 0.0625853837335592 1285924.64065358 0.0611220972735416 1332377.47553323 0.0633300763435302 1386968.6123726 0.0662774330432858 1387267.45534661 0.0665273119180884 1395447.81127078 0.0674645185728561 1402751.61193031 0.0685269144910446 1414559.6661927 0.0693006777183924 1442750.91430821 0.0714755703023105 1443342.23398961 0.0715260477883356 1440345.06065139 0.0714973617630771
"Dyess AFB" "dyess" "dyss" -99.8418696 32.422379 0 0 4543010.68250002 0.142368040564725 3319292.03127604 0.128401763181823 3319292.03127604 0.127459397474932 2962062.09629943 0.127122837708968 2857492.27281711 0.126692930705248 2742957.31163756 0.125060419315995 2652921.90815146 0.124885600490275 2623853.12905962 0.123517195366382 2552367.76998665 0.121318206513008 2474080.66787957 0.117597092756435 2435157.93629575 0.115747031788002 2435157.93629575 0.116366019845667 2404632.896099 0.11531573245716 2379303.77074552 0.11503015887477 2368519.05032489 0.115706373852371 2362234.46588495 0.115728203855963 2346755.61336081 0.116261022025095 2326907.89659855 0.115311893112913 2314980.72424578 0.114913445977381
"Edwards AFB" "edwards" "edwr" -117.8912085 34.9240314 0 0 0 0 0 0 0 0 0 0 1049067.3475 0.0465126075847353 1049067.3475 0.0478304207697433 1049067.3475 0.0493845692346696 1046211.32940804 0.0492501229347882 1046211.32940804 0.0497281322895082 1537693.44757006 0.0730890796458299 2525012.76650829 0.120017978544227 4863521.92919075 0.232407385532022 4737307.10067004 0.227180639121465 5628706.59860386 0.272126250652724 5384672.1637898 0.263050825101218 5602178.34899901 0.274456260533621 5525396.18860201 0.273734599513949 5491950.31944435 0.272158253080377 5466921.23382564 0.271372781330822
"Eglin AFB" "eglin" "egln" -86.5533382 30.4635583 56945.9500000001 0.0021283433919276 374045.640581091 0.0117217740949714 374045.640581091 0.0144693866368314 374045.640581091 0.0143631929722866 374045.640581091 0.0160529191210211 374045.640581091 0.0165841002873547 381415.857373715 0.0173899997840102 387893.937143156 0.0182600049846226 387595.007007376 0.0182459329271689 387595.007007376 0.0184230233810614 387716.337759958 0.0184287904297881 391605.954002953 0.0186136702391059 391793.729867502 0.0187221848183372 392448.564728569 0.0188201258357786 391991.14135356 0.0189512595330666 391934.970507344 0.0191467213308333 393361.295905893 0.0192711591076498 393902.351237765 0.019514383889086 397785.596782279 0.0197126024132996 397816.362403591 0.0197472266577412
"Ellsworth AFB" "ellsworth" "ells" -103.0748767 44.1463938 0 0 1636415.8675 0.0512817021325589 1636415.8675 0.0633022586460813 1305678.20429426 0.0501374858395693 1189889.18173994 0.0510664815335771 1095941.43721754 0.0485908689529108 1095941.43721754 0.0499675642426876 987731.906638037 0.0464972195015901 953890.885996643 0.0449041623629617 951781.87129639 0.0452397460017592 938480.241414607 0.0446074978203123 931624.468797715 0.044281631756682 931624.468797715 0.0445184395677151 926077.195661767 0.0444106334496442 919991.562288773 0.0444780430623056 916045.041459297 0.0447504317173049 911618.309091828 0.0446610829860551 911618.309091828 0.0451626388825471 910025.591707912 0.045097089538625 902205.383005991 0.0447846189191655
"FE Warren AFB" "fe warren" "fewr" -104.8629746 41.1446846 4675813.60750001 0.174757590195752 4675813.60750001 0.146529794418033 4675813.60750001 0.180876736923252 4675813.60750001 0.179549247098914 4675813.60750001 0.200671922147145 4675813.60750001 0.20731203195228 4653035.78669699 0.21214716106145 4643567.93842452 0.218594738362132 4632712.03606683 0.218083699616272 4624190.20215564 0.219795308692321 4629826.99613273 0.220063234711378 4623788.85033576 0.219776231785167 4608609.77219275 0.220226198974055 4597919.80165978 0.220496230658672 4586322.2931582 0.221730990603012 4573259.14832069 0.223411854199266 4557935.64344912 0.223297777136543 4550351.86275904 0.225429761465674 4543716.51926473 0.225167723385498 4547517.06503466 0.22573443100885
"Fairchild AFB" "fairchild" "frch" -117.6438555 47.6182629 0 0 0 0 3100880.04393368 0.11995282768276 3517811.42535158 0.135082457488193 3241189.86933169 0.139102166108456 2739142.5924184 0.121445648673944 2576422.92818061 0.117467570627721 2576422.92818061 0.121284431145185 2513314.41159311 0.118313614339057 2454591.24867559 0.116670728847749 2330282.8769719 0.110762149023564 2330282.8769719 0.110762149023564 2330282.8769719 0.111354479093958 2314954.65588089 0.11101515419717 2289498.60655377 0.110688425619955 2257950.7197896 0.110304913987653 2248667.5392093 0.110164447746473 2222523.05926892 0.110106395772033 2211353.0198659 0.109585473251625 2199702.57166538 0.109191147895078
