"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"64" "Prairie-River District - Kamiah" "Kamiah" "507 Main" NA "ID" -91.4574128 34.7870362
"65" "Kellogg Public" "Kellogg" "16 W Market Ave" 83837 "ID" -116.1222804 47.5338496
"66" "Kimberly Public" "Kimberly" "120 Madison St W" 83341 "ID" -114.365537 42.5345835
"67" "Prairie-River District - Kooskia" "Kooskia" "26 S Main" NA "ID" -73.2184763 44.4757321
"68" "Kuna District" "Kuna" "457 N Locust" 83634 "ID" -116.4205917 43.4924518
"69" "Prairie-River District" "Lapwai" "103 N Main St" 83540 "ID" -116.804477 46.40519
"70" "Prairie-River District Lapwai" "Lapwai" "103 North Main" NA "ID" -73.2151544 44.4758234
"71" "South Bannock District - Lava Hot Springs" "Lava Hot Springs" "33 Main St" NA "ID" -118.4818474 34.0002544
"72" "Lewiston City Library" "Lewiston" "428 Thain Rd" NA "ID" -116.9738656 46.3787049
"73" "Lewisville Public" "Lewisville" "3453 E 480 N" 83431 "ID" -112.012066 43.696354
"74" "Mackay District" "Mackay" "320 Capitol Ave" 83251 "ID" -113.6146404 43.9144658
"75" "Island Park Branch" "Macks Inn" "4377 County Circle Drive" NA "ID" -89.7812271 44.5929303
"76" "Oneida County District" "Malad" "31 N 100 W" 83252 "ID" -112.2481015 42.1855931
"77" "Lizard Butte District" "Marsing" "111 3rd Ave W" 83639 "ID" -116.8066034 43.5449446
"78" "Mccall Public" "Mccall" "218 E Park St" 83638 "ID" -116.0990186 44.9089061
"79" "Jefferson County District" "Menan" "623a N 3500 E" 83434 "ID" -112.00449 43.718609
"80" "Menan - Annis - Grant Library" "Menan" "623 N 3500 E" NA "ID" -112.00449 43.718609
"81" "Meridian District" "Meridian" "1326 W Cherry Ln" 83642 "ID" -116.40909 43.619831
"82" "Old Town Branch" "Meridian" "18 E Idaho Ave" NA "ID" -116.9626722 44.026568
"83" "Middleton Public" "Middleton" "307 E Main St" 83644 "ID" -116.6188891 43.7067196
"84" "Midvale District" "Midvale" "70 E Bridge St" 83645 "ID" -116.7355005 44.4712083
"85" "Bear Lake County District" "Montpelier" "138 N 6th St" 83254 "ID" -111.3021104 42.3186767
"86" "Latah County District" "Moscow" "110 S Jefferson St" 83843 "ID" -116.9982702 46.7333547
"87" "Mountain Home Public" "Mountain Home" "790 N 10th E" 83647 "ID" -115.6875199 43.1369969
"88" "Mullan Public" "Mullan" "117 Hunter Ave" 83846 "ID" -115.8023243 47.4705931
"89" "Nampa Public" "Nampa" "101 11th Ave S" 83651 "ID" -116.5615179 43.5796407
"90" "Nampa Public Public Library" "Nampa" "101 11th Avenue S" NA "ID" -104.9861162 39.7338626
"91" "Meadows Valley District" "New Meadows" "400 Virginia St" 83654 "ID" -116.282942 44.9711222
"92" "Armoral Tuttle Public" "New Plymouth" "301 N Plymouth Ave" 83655 "ID" -116.819729 43.9728582
"93" "Nezperce Community Library" "Nezperce" "502 Oak St" NA "ID" -97.2180885 41.9557541
"94" "Prairie-River District Nezperce" "Nezperce" "602 4th Avenue" NA "ID" -122.3303096 47.6032636
"95" "Notus Public" "Notus" "387 First St" 83656 "ID" -116.8002027 43.7260036
"96" "Oakley District" "Oakley" "185 E Main St" 83346 "ID" -113.879884 42.243314
"97" "Ola District" "Ola" "11475 Ola School Rd" 83657 "ID" -116.2842195 44.1762879
"98" "Osburn Public" "Osburn" "921 Mullan Ave" 83849 "ID" -115.9912271 47.5023908
"99" "Paris Branch" "Paris" "62 S Main" NA "ID" -73.2170559 44.4757845
"100" "Parma Public Library" "Parma" "121 N 3rd St" NA "ID" -105.5933558 41.3130417
"101" "Payette Public" "Payette" "24 S 10th St" 83661 "ID" -116.932101 44.074067
"102" "Prairie-River District - Peck" "Peck" "217 N Main St" NA "ID" -73.2107139 44.4759912
"103" "Pierce District" "Pierce" "208 S Main St" 83546 "ID" -115.799416 46.48907
"104" "Community Library Network - Pinehurst" "Pinehurst" "107 Main Avenue" 83850 "ID" -116.3119956 48.697575
