"Library Name" "Address" "City" "State" "Latitude" "Longitude"
"Pinellas Public Library Cooperative" "1330 Cleveland Street, 33755" "Clearwater" "FL" -82.7818108 27.966197
"Talking Book Library" "1330 Cleveland Street, " "Clearwater" "FL" -82.7818108 27.966197
"Cooper Memorial Library" "620 Montrose St., " "Clermont" "FL" -75.1539257 39.9371694
"Clewiston Public Library" "120 West Osceola Avenue, " "Clewiston" "FL" -95.4350333 43.4450767
"Harlem Community Library" "1010 J Harlem Academy Ave, " "Clewiston" "FL" -80.9514548 26.7373035
"Hendry County Library System" "120 West Osceola Avenue, 33440" "Clewiston" "FL" -80.9345196 26.7556787
"Brevard County Library System" "308 Forrest Avenue, 32922" "Cocoa" "FL" -80.7299885 28.3598379
"Central Brevard Library And Reference Center" "308 Forrest Avenue, " "Cocoa" "FL" -87.0644731 31.0975055
"Talking Book Library" "308 Forrest Ave., " "Cocoa" "FL" -87.0644731 31.0975055
"Cocoa Beach Public Library" "550 N. Brevard Avenue, " "Cocoa Beach" "FL" -81.8559777 27.224006
"North Regional-Bcc Library" "1000 Coconut Creek Blvd., Bldg. 62, " "Coconut Creek" "FL" -80.1744201 26.2399392
"Coleman Library" "712 Central Avenue, " "Coleman" "FL" -73.7852034 42.6758599
"Coral Gables Branch" "3443 Segovia Street, " "Coral Gables" "FL" -80.2658668 25.7398645
"West Atlantic Branch" "10643 W. Atlantic Blvd., " "Coral Springs" "FL" -80.2673556 26.2420573
"Wakulla County Public Library" "4330 Crawfordville Highway, " "Crawfordville" "FL" -84.386465 30.123908
"Crescent City Public Library" "610 North Summit, " "Crescent City" "FL" -84.4194169 42.2590007
"Robert L. F. Sikes Public Library" "1445 Commerce Drive, " "Crestview" "FL" -96.0905853 33.1595543
"Dixie County Library" ", " "Cross City" "FL" NA NA
"Coastal Region Library" "8619 West Crystal Street, " "Crystal River" "FL" -82.5771421 28.9026185
"Hugh Embry Branch Library" "14215 N Fourth St., " "Dade City" "FL" -87.4590041 41.5437516
"Dania Beach Paul Demaio Branch" "225 E Dania Beach Blvd., " "Dania" "FL" -80.139674 26.0528128
"Davie-Cooper City Branch" "4600 Sw 82nd Avenue, " "Davie" "FL" -80.3271389 25.7250943
"John H. Dickerson Heritage Library" "411 South Keech Street, " "Daytona Beach" "FL" -81.0335843 29.1993723
"S. Cornelia Young Memorial Library" "302 Vermont Ave., " "Daytona Beach" "FL" -118.2916632 34.0689953
"Volusia County Public Library" "1290 Indian Lake Rd., 32124" "Daytona Beach" "FL" -81.145417 29.143924
"Debary Public Library" "220 N. Charles R. Beall Blvd, " "Debary" "FL" -81.305832 28.899613
"Century Plaza Branch" "1856-A W. Hillsboro Blvd., " "Deerfield Beach" "FL" -80.1294287 26.316176
"Deerfield Beach Percy White Branch" "837 E Hillsboro Blvd., " "Deerfield Beach" "FL" -80.0924653 26.3187521
"Walton County Public Library System" "3 Circle Drive, 32435" "Defuniak Springs" "FL" -86.1156526 30.7183362
"Deland Area Public Library" "130 East Howry St., " "Deland" "FL" -81.3021909 29.025878
"Delray Beach Library" "100 West Atlantic Avenue, 33444" "Delray Beach" "FL" -80.0745879 26.4612856
"West Atlantic Branch Library" "7777 West Atlantic Ave., " "Delray Beach" "FL" -80.15554 26.45451
"Deltona Public Library" "2150 Eustace Ave., " "Deltona" "FL" -81.224559 28.929941
"Destin Library" "150 Sibert Avenue, " "Destin" "FL" -86.508064 30.398979
"Dundee Public Library" "203 Center Street, " "Dundee" "FL" -70.2253748 44.1098033
"Dunedin Public Library" "223 Douglas Avenue, " "Dunedin" "FL" -81.3903376 28.6644529
"Dunnellon Public Library" "20351 Robinson Road, " "Dunnellon" "FL" -84.828484 45.5508004
"Herman B. Oberman Public Library" "4040 Deepwater Court, " "Dunnellon" "FL" -82.5159503 29.139802
"Eagle Lake Public Library" "75 North Seventh Street, " "Eagle Lake" "FL" -112.065022 33.4491845
"Eastpoint Branch" "29 Island Drive, " "Eastpoint" "FL" -80.618419 41.03027
"Eatonville Branch" "200 E. Kennedy Blvd., " "Eatonville" "FL" -82.4587824 27.9474135
"Edgewater Public Library" "103 Indian River Blvd., " "Edgewater" "FL" -80.8981788 28.9723658
