"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"60" "Blackshear Memorial Library" "Blackshear" "600 South Main Street" NA "GA" -73.1961035 44.4752531
"61" "Marian Anderson Public Library" "Blackshear" "424 Lee Street" NA "GA" -87.8858741 42.0457279
"62" "Union County Public Library" "Blairsville" "194 Hospital Street" NA "GA" -69.7677103 44.2973433
"63" "Lucy Maddox Memorial Library" "Blakely" "628 Columbia Road" NA "GA" -71.0640318 42.3179978
"64" "Fannin County Public Library" "Blue Ridge" "400 West Main Street" NA "GA" -85.7566392 38.2565994
"65" "Bogart Branch Library" "Bogart" "200 S. Burson St." NA "GA" -90.0128966 40.7778601
"66" "Boston Carnegie Library" "Boston" "250 South Main Street" NA "GA" -73.2094367 44.4763613
"67" "Warren P. Sewell Memorial Library-Bowdon" "Bowdon" "450 West Avenue" NA "GA" -73.5111692 41.0721423
"68" "Bowman Branch" "Bowman" "1 Prince Avenue" NA "GA" -73.5882043 40.6716018
"69" "Braselton Library" "Braselton" "65 Frances Street" NA "GA" -76.550603 42.929098
"70" "Warren P. Sewell Memorial Library-Bremen" "Bremen" "315 Hamilton Avenue" NA "GA" -89.6169903 37.8614821
"71" "Broxton Public Library" "Broxton" "105 Church Street" NA "GA" -84.5503443 33.9541542
"72" "Brunswick Glynn County Regional Library" "Brunswick" "208 Gloucester Street" NA "GA" -81.4959606 31.1484145
"73" "Three Rivers Regional Library System" "Brunswick" "208 Gloucester St" 31520 "GA" -81.4959606 31.1484145
"74" "Marion County Library" "Buena Vista" "5th Avenue" NA "GA" -74.1423735 40.9309115
"75" "Buford-Sugar Hill" "Buford" "2100 Buford Hwy" NA "GA" -83.9985203 34.1109516
"76" "Butler Public Library" "Butler" "21o West Main Street" NA "GA" -74.3100218 44.8480967
"77" "Byromville Public Library" "Byromville" "452 Main Street" NA "GA" -78.8747642 42.8864417
"78" "Byron Public Library" "Byron" "105 West Church Street" NA "GA" -81.3808886 28.5403274
"79" "Roddenbery Memorial Library System" "Cairo" "320 North Broad Street" 39828 "GA" -84.2081565 30.87941
"80" "Calhoun-Gordon County Library" "Calhoun" "100 N. Park Street" NA "GA" -73.114515 44.483711
"81" "Desoto Trail Regional Library System" "Camilla" "145 East Broad Street" 31730 "GA" -84.2034894 31.2310358
"82" "Hickory Flat Public Library" "Canton" "2740 East Cherokee Drive" NA "GA" -84.4214352 34.1704298
"83" "R. T. Jones Memorial Library" "Canton" "116 Brown Industrial Parkway" NA "GA" -84.468936 34.237974
"84" "Neva Lomason Memorial Library" "Carrollton" "710 Rome Street" NA "GA" -85.2505736 33.5674889
"85" "Bartow County Library System" "Cartersville" "429 West Main Street" 30120 "GA" -84.8055423 34.1638411
"86" "Cartersville-Bartow County Library" "Cartersville" "429 W. Main Street" NA "GA" -82.8359739 36.158479
"87" "Emmie Nelson Library" "Cartersville" "108 Covered Bridge Road" NA "GA" -78.4741676 35.6749484
"88" "Cave Spring Library" "Cave Spring" "10-B Cedartown Street" NA "GA" -115.3280887 36.2273448
"89" "Cedartown Library" "Cedartown" "245 East Avenue" NA "GA" -77.5979228 43.1559118
"90" "Centerville Branch Library" "Centerville" "310 E Church Street" NA "GA" -88.617447 41.644264
"91" "Chamblee Branch" "Chamblee" "4115 Clairmont Rd" NA "GA" -84.3089233 33.8823001
"92" "Embry Hills Branch" "Chamblee" "3733 Chamblee-Tucker Road" NA "GA" -84.2415226 33.8833991
"93" "Chatsworth-Murray County Library" "Chatsworth" "706 Old Dalton-Ellijay Road" NA "GA" -84.782579 34.779157
"94" "Chickamauga Public Library" "Chickamauga" "306 Cove Road" NA "GA" -85.2934741 34.8699784
"95" "Clarkesville-Habersham Co. Lib." "Clarkesville" "178 East Green Street" NA "GA" -88.2371644 40.1102443
"96" "Clarkston Branch" "Clarkston" "951 N. Indian Creek Dr" NA "GA" -84.2388074 33.8049996
"97" "Evans County Library" "Claxton" "701 West Main Street" NA "GA" -85.7614968 38.2571753
"98" "Rabun Co. Public Library" "Clayton" "73 Library Circle" NA "GA" -68.6687326 44.8997988
"99" "Clermont Library" "Clermont" "197 King Street" NA "GA" -77.0414523 38.8043903
"100" "White County Public Library-Cleveland Branch" "Cleveland" "post office box 657" NA "GA" -2.1939346 51.392446
"101" "Tessie W. Norris Cochran-Bleckley County Pl" "Cochran" "315 Third Street Se" NA "GA" -98.290146 46.3549037
"102" "James W. Merritt, Jr. Memorial Library" "Colquitt" "259 East Main Street" NA "GA" -82.992575 39.9569388
"103" "Chattahoochee Valley Regional Library System" "Columbus" "3000 Macon Road" 31906 "GA" -84.9440487 32.4769318
"104" "Mildred L. Terry Branch Library" "Columbus" "640 Veterans Parkway" NA "GA" -88.1115996 41.6821526
"105" "North Columbus Branch Library" "Columbus" "5689 Armour Road" NA "GA" -89.8250165 35.3537898
"106" "South Columbus Branch Library" "Columbus" "2034 S Lumpkin Road" NA "GA" -84.9517372 32.4151038
"107" "W. C. Bradley Memorial Library" "Columbus" "1120 Bradley Drive" NA "GA" -95.8394287 32.1969698
"108" "Commerce Public Library" "Commerce" "1344 South Broad Street" NA "GA" -75.1758715 39.8902491
"109" "Conyers-Rockdale Library System" "Conyers" "864 Green Street" 30012 "GA" -84.0181108 33.6649281
"110" "Cordele-Crisp Carnegie Library" "Cordele" "115 East Eleventh Avenue" NA "GA" -104.9856291 39.733867
"111" "Cornelia-Habersham Co. Lib." "Cornelia" "301 North Main" NA "GA" -73.2071362 44.4761303
"112" "Newton County Library System" "Covington" "7116 Floyd Street" 30014 "GA" -83.8392981 33.599275
"113" "Taliaferro County Library" "Crawfordville" "117 Askin Street" NA "GA" -79.877682 36.6794698
"114" "Forsyth County Public Library System" "Cumming" "585 Dahlonega Road" 30040 "GA" -84.1317717 34.2205957
"115" "Sharon Forks Library" "Cumming" "2820 Old Atlanta Road" NA "GA" -84.1565526 34.1187797
"116" "Randolph County Branch Library" "Cuthbert" "200 East Pearl Street" NA "GA" -97.3912432 28.6682314
"117" "Lumpkin County Library" "Dahlonega" "342 Courthouse Hill" NA "GA" -83.9808798 34.5357058
"118" "New Georgia Public Library" "Dallas" "94 Ridge Road" NA "GA" -81.7459159 41.274209
"119" "Paulding County Public Library" "Dallas" "1010 East Memorial Drive" NA "GA" -76.9783968 36.2761311
"120" "Dalton-Whitfield County Public Library" "Dalton" "310 Cappes Street" NA "GA" -84.9775748 34.7754957
"121" "Madison County Library" "Danielsville" "1315 Hwy 98 W" NA "GA" -84.6984748 29.8263464
"122" "Ida Hilton Public Library" "Darien" "1105 Northway" NA "GA" -97.1646488 33.2368504
"123" "Kinchafoonee Regional Library System" "Dawson" "913 Forrester Drive, Se" 39842 "GA" -84.4371905 31.7613811
"124" "Chestatee Regional Library System" "Dawsonville" "342 Allen Street" 30534 "GA" -84.108363 34.4187696
"125" "Covington Branch" "Decatur" "3500 Covington Hwy" NA "GA" -84.2508421 33.7672718
"126" "Decatur Library" "Decatur" "215 Sycamore St" NA "GA" -96.697414 32.2651242
"127" "Dekalb County Public Library System" "Decatur" "215 Sycamore Street" 30030 "GA" -84.2940387 33.7741573
"128" "Flat Shoals Branch" "Decatur" "4022 Flat Shoals Pkwy" NA "GA" -84.25826 33.691393
"129" "Scott Candler Branch" "Decatur" "2644 Mcafee Road" NA "GA" -84.2817059 33.7321752
"130" "Toco Hill-Avis G. Williams Branch" "Decatur" "1282 Mcconnell Drive" NA "GA" -80.080496 36.1185144
"131" "Wesley Chapel-William C. Brown Branch" "Decatur" "2861 Wesley Chapel Road" NA "GA" -84.2211535 33.7043247
"132" "Monroe Memorial Library" "Doerun" "232 Broad Street" NA "GA" -85.3106277 35.0537802
"133" "Seminole County Public Library" "Donalsonville" "104 West Fourth Street" NA "GA" -118.2473519 34.0482138
"134" "Doraville Branch" "Doraville" "3748 Central Ave" NA "GA" -93.0598779 34.4665026
"135" "Douglas-Coffee County Public Library" "Douglas" "201 South Coffee Avenue" NA "GA" -82.8470328 31.5080349
"136" "Satilla Regional Library System" "Douglas" "200 S. Madison Avenue, Suite D" 31533 "GA" -82.849443 31.5081946
"137" "Douglas County Public Library" "Douglasville" "6810 Selman Drive" NA "GA" -84.7523374 33.7431225
"138" "Laurens County Library" "Dublin" "801 Bellevue Avenue" NA "GA" -82.9163239 32.5377907
