"Library Name" "Address" "City" "State" "Latitude" "Longitude"
"Maricopa County Library - Aguila" "51300 West U.S. 60, 85320" "Aguila" "AZ" -113.1729126 33.9217111
"Salazar-Ajo Branch Library" "33 Plaza Street, 85321" "Ajo" "AZ" -112.8617265 32.3729404
"Alpine Public Library" "17 County Road 2061, 85920" "Alpine" "AZ" -109.1408559 33.8479543
"Maricopa County Library - North Valley Regional" "40410 North Gavilan Peak Parkway, 85086" "Anthem" "AZ" -112.1398082 33.8528855
"Apache Junction Public Library" "1177 N. Idaho Rd., 85219" "Apache Junction" "AZ" -111.5459169 33.4253008
"Caviglia-Arivaca Branch Library" "17050 W Arivaca Road, 85601" "Arivaca" "AZ" -111.3288666 31.5756657
"Arizona City Community Library" "13254 S. Sunland Gin Rd., 85193" "Arizona City" "AZ" -111.6716273 32.7599864
"Ash Fork Public Library" "518 Lewis Ave, 86320" "Ash Fork" "AZ" -112.4872798 35.2248341
"Avondale Civic Center Library" "11350 Civic Center Drive, 85323" "Avondale" "AZ" -112.3027605 33.4450274
"Avondale Old Town Library" "328 West Western Avenue, 85323" "Avondale" "AZ" -112.3535272 33.4358226
"Sam Garcia Western Avenue Library" "495 E. Western Ave, 85323" "Avondale" "AZ" -112.3449089 33.4351404
"Bagdad Public Library" "100 Main Street, 14070" "Bagdad" "AZ" -78.9317092 42.4653644
"Beaver Dam-Littlefield Library" "3436 E Rio Virgin Rd, 86432" "Beaver Dam" "AZ" -113.9289091 36.9056802
"Benson Public Library" "300 S. Huachuca, 85602" "Benson" "AZ" -110.2969773 31.9658804
"Cochise County Library District" "100 Clawson Street, 85603" "Bisbee" "AZ" -109.8776764 31.4108303
"Copper Queen Library" "6 Main Street, 85603" "Bisbee" "AZ" -109.9153335 31.4416277
"Black Canyon City Community Library" "34701 S Old Black Canyon Hwy, 85324" "Black Canyon City" "AZ" -112.146961 34.062941
"Jimmie Libhart Library" "201 North Central, 85605" "Bowie" "AZ" -109.487103 32.327334
"Buckeye Public Library" "310 North 6th Street, 85326" "Buckeye" "AZ" -112.583186 33.3728253
"Mohave County Library At Bullhead City Library" "1170 East Hancock Road, 86442" "Bullhead City" "AZ" -114.6078132 35.1073522
"Camp Verde Community Library" "130 Black Bridge Loop Rd., 86322" "Camp Verde" "AZ" -111.8548081 34.570983
"Casa Grande Public Library" "449 N. Dry Lake, 85222" "Casa Grande" "AZ" -122.497678 48.1568158
"Dewhirst-Catalina Branch Library" "15631 N. Oracle Rd., 85739" "Catalina" "AZ" -110.9244251 32.4899066
"Desert Broom Library" "29710 N. Cave Creek Rd., 85331" "Cave Creek" "AZ" -111.9923212 33.7544253
"Desert Foothills Library" "38443 N. Schoolhouse Road, 85331" "Cave Creek" "AZ" -111.9427964 33.8349494
"Chandler Public Library" "22 South Delaware, 85225" "Chandler" "AZ" -111.8381678 33.3034292
"Hamilton Branch Library" "3700 South Arizona Avenue, 85248" "Chandler" "AZ" -111.8430871 33.2520276
"Sunset Branch Library" "4930 West Ray Road, 85226" "Chandler" "AZ" -111.9251373 33.3214556
"Chino Valley Public Library" "1020 W. Palomino Road, 86323" "Chino Valley" "AZ" -112.4657624 34.7738504
"Craig Community Library" "4901 Pay Roll Avenue, 86431" "Chloride" "AZ" -114.199267 35.4126294
"Cibecue Community Library" "6 West 3rd St., 85911" "Cibecue" "AZ" -110.0790887 34.5133456
"Clark Memorial" "39 North Ninth Street, 86324" "Clarkdale" "AZ" -112.0575298 34.7719262
"Clay Springs Public Library" "2106 Granite Rd., 85923" "Clay Springs" "AZ" -110.2991514 34.3636645
"Clifton Public Library" "505 School Street, 85533" "Clifton" "AZ" -109.2894356 33.045974
"Concho Public Library" "18 County Road 5051, 85924" "Concho" "AZ" -109.6369746 34.4381297
"Congress Public Library" "26750 S Sante Fe Rd, 85332" "Congress" "AZ" -112.847308 34.161324
"Coolidge Public Library" "160 W. Central Avenue, 85228" "Coolidge" "AZ" -98.604964 31.8974081
"Cottonwood Public Library" "100 S. 6th St., 86326" "Cottonwood" "AZ" -112.0232081 34.737524
"Crown King Public Library" "23550 South Towers Mountain Road, 86343" "Crown King" "AZ" -112.3528973 34.2213504
"Dateland Branch Library" ", 85333" "Dateland" "AZ" -113.3347215 32.9890375
"Douglas Public Library" "560 10th Street, 85607" "Douglas" "AZ" -109.55325 31.3447158
"Duncan Public Library" "122 N. Hwy. 75, 85534" "Duncan" "AZ" -109.176664 32.8303069
"Round Valley Public Library" "179 South Main Street, 85925" "Eagar" "AZ" -109.291585 34.1078959
"Maricopa County Library - El Mirage" "14011 N. 1st Avenue, 85335" "El Mirage" "AZ" -98.7393237 37.7317661
"Eloy Public Library" "100 East 7th Street, 85231" "Eloy" "AZ" -111.829345 33.401513
"East Flagstaff Community Library" "3000 N Fourth St, 86004" "Flagstaff" "AZ" -111.612983 35.217716
"Flagstaff City-Coconino County Public Library" "300 West Aspen, 86001" "Flagstaff" "AZ" -111.6524392 35.2001356
"Florence Community Library" "1000 S. Willow Street, 85232" "Florence" "AZ" -88.53681 39.113468
"Pinal County Library District" "92 W. Butte Ave., 85232" "Florence" "AZ" -111.91301 33.3169365
"Forest Lakes Community Library" "417 Old Rim Rd, 85931" "Forest Lakes" "AZ" -110.8053873 34.3362034
"Maricopa County Library - Fountain Hills" "12901 N La Montana Dr, 85268" "Fountain Hills" "AZ" -111.7217526 33.6030724
"Fredonia Public Library" "118 North Main Street, 86022" "Fredonia" "AZ" -112.7544184 36.9026845
"Kaibab Paiute Tribal Library" "1 North Pipe Springs Road, 86022" "Fredonia" "AZ" -112.7383601 36.8738782
"Ft. Mcdowell Yavapai Nation Tribal Library" "16708 N. Ft Mcdowell Road, 85264" "Ft. Mcdowell" "AZ" -111.6818058 33.6221857
"Maricopa County Library - Gila Bend" "202 N Euclid, 85337" "Gila Bend" "AZ" -112.718384 32.9482074
"San Lucy District Library" "1125 C Street, 85337" "Gila Bend" "AZ" -112.7182534 32.9636735
"Maricopa County Library - Perry" "1965 E. Queen Creek Rd., 85298" "Gilbert" "AZ" -111.7478894 33.2626032
"Maricopa County Library - Southeast Regional" "775 North Greenfield Road, 85234" "Gilbert" "AZ" -111.7377892 33.3639249
"Agave Library" "23550 N. 36th Ave., 85310" "Glendale" "AZ" -112.1398866 33.699417
"Foothills Branch Library" "19055 North 57th Avenue, 85308" "Glendale" "AZ" -112.1798312 33.6593785
"Glendale Public Library" "5959 W Brown St, 85302" "Glendale" "AZ" -112.1871365 33.5774918
"Velma Teague Branch Library" "7010 North 58th Avenue, 85301" "Glendale" "AZ" -112.1843546 33.5392725
"Gila County Library District" "1400 East Ash, 85501" "Globe" "AZ" -110.7713937 33.3955185
"Globe Public Library" "339 S. Broad St., 85501" "Globe" "AZ" -110.785663 33.393993
"Golden Valley Community Library" "3417 N. Verde Road, 86413" "Golden Valley" "AZ" -114.2184661 35.2260353
"Maricopa County Library - Goodyear" "250 N. Litchfield Road Ste 185, 85338" "Goodyear" "AZ" -112.3589248 33.449306
"Grand Canyon Community Library" "208 Navajo Street, 86023" "Grand Canyon National Park" "AZ" -112.1349248 36.0551298
"Joyner-Green Valley Branch Library" "601 North La Canada Drive, 85614" "Green Valley" "AZ" -110.9971295 31.8814384
"Greer Memorial Library" "109 County Road 1120 - Main Street, 85927" "Greer" "AZ" -95.5469317 29.6158035
"Maricopa County Library - Guadalupe" "9241 South Avenida Del Yaqui, 85283" "Guadalupe" "AZ" -111.9626837 33.3624843
"Hayden Public Library" "219 E. 5th St., 85235" "Hayden" "AZ" -101.701406 34.1845984
"Hayden Public Library" "520 Velasco Avenue, 85135" "Hayden" "AZ" -110.7851464 33.0029711
"Rim Community Library" "3404 Mustang Ave., 85928" "Heber" "AZ" -110.587034 34.4307019
"Holbrook Public Library" "403 Park St, 86025" "Holbrook" "AZ" -110.154951 34.9070145
"Navajo County Library District" "121 W. Buffalo, 86025" "Holbrook" "AZ" -110.1593296 34.9037643
"Huachuca City Public Library" "506 N Gonzales Blvd, 85616" "Huachuca City" "AZ" -110.3353768 31.6324347
"Jerome Public" "600 Clark St., 86331" "Jerome" "AZ" -112.1142845 34.7479388
"Kayenta Community Library" "1 Mile N. U.S. Highway 163, 86033" "Kayenta" "AZ" -110.2548926 36.7261023
"Kearny Public Library" "912-A Tilbury Rd., 85237" "Kearny" "AZ" -83.2432667 42.5507752
"Mohave County Library District" "3269 N. Burbank Street, 86401" "Kingman" "AZ" -114.0292178 35.2248792
"Valle Vista Community Library" "7193 Concho Drive, Suite B, 86401" "Kingman" "AZ" -113.8608589 35.4003223
"Hopi Public Library" "100 Main Street, 86034" "Kykotsmovi" "AZ" -110.1689459 35.8303027
"Mohave County Library At Lake Havasu City" "1770 N Mcculloch Blvd, 86403" "Lake Havasu City" "AZ" -114.3390272 34.4771568
