"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
" 35.784476 -106.037834 1 0 3.35 15415 289 2872 13 13 242242 10 1497.3 243739.3 59.6797782987022 0.00028076670013462 68.4338789541222 80.9145363938012 0.00015273792972884 37.2282360755566
"ZIA ENRICHMENT LIBRARY" 737 "162B ZIA BLVD.
ZIA PUEBLO, NM 87053
" 35.504466 -106.722181 1 0 1 15439 0 500 16 10 207865 22.5 647.475 208512.475 36.0336328516438 0.000770165218696145 160.589055909249 47.0764412740627 0.000451224580481015 94.0859540569332
"EMBUDO VALLEY LIBRARY & COMMUNITY CENTER" 1428 "217A HWY 75 DIXON
DIXON, NM 87527
" 36.164134 -105.865101 1 0 1.76 12278 415 2717 35 8 201145 14.25 874.47 202019.47 87.5413152396016 0.000130488988746546 26.3613163474133 124.08005766339 6.49525232042858e-05 13.1216743128925
"EDGEWOOD COMMUNITY LIBRARY" 3735 "95, HWY 344 NORTH
EDGEWOOD, NM 87015
" 35.076708 -106.191516 1 0 2 12702 432 1449 7 12 190210 10 1420.5 191630.5 18.6396575122039 0.00287822103876483 551.554936769023 30.4453999776306 0.00107883898565274 206.738454240128
"SANTA ANA PUEBLO COMMUNITY LIBRARY" 747 "2 DOVE ROAD
SANTA ANA, NM 87004
" 35.340024 -106.522478 1 0 1 7497 156 881 58 12 112236 22.5 654.225 112890.225 22.6413035706405 0.0019507299175136 220.218339302342 31.1605999975145 0.0010298841565999 116.263854162498
"PUEBLO DE SAN ILDEFONSO LIBRARY" 524 "1B TUNYO PO
SAN ILDEFONSO, NM 87506
" 35.89399 -106.120989 1 0 0.6 3300 50 110 10 10 45560 22.5 443.7 46003.7 64.7978524333076 0.000238165458347103 10.9564922961626 96.2058980700163 0.000108042992366664 4.9703774079383
"MAGDALENA PUBLIC LIBRARY" 938 "108 N. MAIN STREET
MAGDALENA, NM 87825
" 34.11821 -107.243993 1 0 1 28378 431 4006 2 5 426846 22.5 783.15 427629.15 74.6434511406673 0.000179480213872393 76.7509713000696 111.4289087452 8.05386313867471e-05 34.440666482078
"JEMEZ PUEBLO COMMUNITY LIBRARY" 3772 "020 MISSION RD
JEMEZ PUEBLO, NM 87024
" 35.612464 -106.7246 1 0 3 13307 176 943 57 17 189044 10 1581.6 190625.6 43.1905356180462 0.000536071625227858 102.188975202035 57.2010886450346 0.000305626783881532 58.2602890534874
"PUEBLO OF ISLETA PUBLIC LIBRARY" 3537 "950 MOONLIGHT DR.
ALBUQUERQUE, NM 87105
" 34.898094 -106.721767 1 0 5.5 11254 735 2100 47 24 184848 10 1886.1 186734.1 14.3324586525436 0.00486809006862932 909.038417684435 24.7548684553917 0.00163184443303622 304.72100154303
"IRENE S. SWEETKIND PUBLIC LIBRARY" 569 "6515 HOOCHANEETSA BLVD.
COCHITI LAKE, NM 87083
