"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
" 34.442793 -88.157333 1 0 0.63 12581 49 106 0 7 165883 10 1040.4 166923.4 58.0622778124922 0.000296627807113851 49.5141220979882 72.2202890625971 0.000191726239999646 32.0035958499569
"WINFIELD PUBLIC LIBRARY" 4684 "185 ASHWOOD DRIVE
WINFIELD, AL 35594
" 33.930841 -87.815045 1 0 3 24224 375 1906 0 19 345420 10 1855.2 347275.2 41.1030858183178 0.000591903822162039 205.553518222087 48.809449836579 0.000419751421022909 145.769258686015
"LAWRENCE COUNTY PUBLIC LIBRARY" 31520 "401 COLLEGE STREET
MOULTON, AL 35650
" 34.475889 -87.294496 1 0 3 33685 1541 2431 0 17 490306 3 3286.8 493592.8 87.4859975695581 0.000130654058108868 64.4899023733189 113.811251817515 7.72021863420746e-05 38.1064433227063
"ADAMSVILLE PUBLIC LIBRARY" 4490 "4825 MAIN STREET
ADAMSVILLE, AL 35005
" 33.600134 -86.953231 1 0 2 14099 485 1080 0 14 204262 10 1647 205909 85.4217013966067 0.0001370451168257 28.218822960463 106.961238768688 8.74071886515585e-05 17.9979268080538
"BESSEMER PUBLIC LIBRARY" 27289 "400 19TH STREET N
BESSEMER, AL 35020
" 33.403367 -86.954919 1 0 16 71246 4155 3061 65 41 1022696 3 4856.01 1027552.01 86.8854166271927 0.000132466549549728 136.116269247587 112.068922663949 7.96213626668828e-05 81.8150912472943
"MOUNTAIN BROOK - EMMET O'NEAL LIBRARY" 20369 "50 OAK STREET
MOUNTAIN BROOK, AL 35213
" 33.501479 -86.756435 1 0 30 122545 6125 7151 181 72 1771266 4.5 7249.815 1778515.815 97.2217805593813 0.000105796879597058 188.161423541018 131.183590788771 5.81086748116925e-05 103.347197141287
"FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY" 11029 "4615 GARY AVENUE
FAIRFIELD, AL 35064
" 33.491112 -86.915404 1 0 7 17461 430 1270 27 16 250164 4.5 2538.915 252702.915 88.1894648935664 0.000128577976011919 32.4920293430119 117.9427591435 7.18881708135671e-05 18.1663503186063
"FULTONDALE PUBLIC LIBRARY" 8570 "500 BYRD LANE
FULTONDALE, AL 35068
" 33.6648498 -86.8155997 1 0 9 38564 275 5847 0 23 581953 7 3149.7 585102.7 93.3008964504713 0.000114875751877503 67.2141125880569 123.049821666025 6.60447077500408e-05 38.6429368252598
"GARDENDALE - MARTHA MOORE PUBLIC LIBRARY" 13849 "995 MT. OLIVE ROAD
GARDENDALE, AL 35071
" 33.650038 -86.818551 1 0 11.5 48276 2112 4593 41 30 716636 4.5 3594.615 720230.615 93.1224607204059 0.000115316409844675 83.0544087820223 120.935290243205 6.83744581227107e-05 49.2453780240117
"GRAYSVILLE PUBLIC LIBRARY" 2148 "315 SOUTH MAIN STREET
GRAYSVILLE, AL 35073
" 33.62657 -86.973355 1 0 1.5 13274 368 403 0 6 182855 14.25 1143.27 183998.27 84.2165252899636 0.000140995535855738 25.9429346751788 106.223047957548 8.86262721699755e-05 16.3070807558246
"HOMEWOOD PUBLIC LIBRARY" 25262 "1721 OXMOOR ROAD
HOMEWOOD, AL 35209
" 33.475485 -86.795527 1 0 34.89 76899 9480 18605 238 127 1373601 3 7507.08 1381108.08 95.1859535451006 0.000110370820267079 152.43403166709 129.353648079337 5.97644101125908e-05 82.5411097029329
"HOOVER PUBLIC LIBRARY" 83412 "200 MUNICIPAL DRIVE
HOOVER, AL 35216
" 33.387877 -86.805959 1 0 70.94 225249 16892 26173 259 87 3495364 2.25 16271.31 3511635.31 95.5353554944672 0.000109564977031351 384.752242082632 119.446481166192 7.00895512883288e-05 246.128943166151
"HUEYTOWN PUBLIC LIBRARY" 15991 "1372 HUEYTOWN ROAD
HUEYTOWN, AL 35023
" 33.448032 -86.996988 1 0 5.5 24019 575 620 0 19 328637 4.5 2983.785 331620.785 83.9485089546901 0.000141897265512546 47.0560825786239 114.277902742739 7.65729673201984e-05 25.3931875325035
"IRONDALE PUBLIC LIBRARY" 12426 "105 SOUTH 20TH STREET
IRONDALE, AL 35210
" 33.537758 -86.706599 1 0 5.49 40685 1054 2035 73 14 570641 4.5 2501.01 573142.01 99.8589091929017 0.000100282779938113 57.4762740621178 133.263946711074 5.63085906944302e-05 32.272818850873
"MIDFIELD PUBLIC LIBRARY" 5323 "400 BRELAND DRIVE
MIDFIELD, AL 35228
" 33.457671 -86.915595 1 0 2.43 15608 331 1255 21 10 224245 7 1482.33 225727.33 88.4875259512732 0.000127713231704544 28.8283667983381 115.98232815937 7.43389385067738e-05 16.7803301041682
"PLEASANT GROVE PUBLIC LIBRARY" 10371 "501 PARK ROAD
PLEASANT GROVE, AL 35127
" 33.49169 -86.971744 1 0 2.5 23177 977 2119 30 12 342479 4.5 1775.085 344254.085 84.9588641419337 0.000138542367560262 47.6937759781917 118.346651422322 7.13983296314094e-05 24.5791666377892
"TARRANT PUBLIC LIBRARY" 6340 "1143 FORD AVENUE
TARRANT, AL 35217
