"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
" 34.774238 -96.677013 17116 1 0 0 2 5 2.28 7.28 458300 18131 880 0 477311 257400 83700 341100 61000 5000 12200 78200 58011 477311 0 0 0 53500 53500 53500 62845 23481 3578 5860 4295 76 6 35 41 180 3068 87124 6864 16586 160845 58866 15389 382 813 167 136 11 4168 3637 234 15 25699 -1 2015 2013-07-01 2014-06-30 1 6 0 14 0 "NO" "124 S. RENNIE" "ADA" 74820 5804368124 "PONTOTOC" 38005 "CI" "SO" "Y" "N" 922349 4.5 3405.9 1083133.233 1375579.20591 59.9717951655411 0.000278039117914339 382.464829032523
"OK" "OK0004" "11" "ANADARKO COMMUNITY LIBRARY" 41 6804 "215 W BROADWAY
ANADARKO, OK 73005
(35.074877, -98.253552)" "215 W BROADWAY
ANADARKO, OK 73005
" 35.074877 -98.253552 6795 1 0 0 0 1 3.05 4.05 152110 9298 0 250 161658 86499 30221 116720 6517 1350 1546 9413 27790 153923 0 0 0 5801 5801 5801 21070 23062 513 5783 583 76 3 35 38 66 2444 71760 18200 6982 54162 12969 3073 467 182 118 72 20 5243 3971 182 22 29126 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "215 W BROADWAY" "ANADARKO" 73005 4052477351 "CADDO" 29317 "CI" "SO" "Y" "N" 290006 7 2036.34 341689.5378 433945.713006 54.3682627447596 0.000338305523064094 146.806231419916
"OK" "OK0006" "13" "ARDMORE PUBLIC LIBRARY" 33 24950 "320 E STREET NW
ARDMORE, OK 73401
(34.178052, -97.133342)" "320 E STREET NW
ARDMORE, OK 73401
" 34.178052 -97.133342 24915 1 0 0 3 6 8 14 951439 24272 1314 138088 1115113 509777 215196 724973 74674 18266 44866 137806 97494 960273 0 0 0 86141 86141 86141 64199 23062 6343 4865 6114 76 13 35 48 143 2912 146515 17056 27578 287031 45639 9884 255 220 329 174 99 13618 12441 320 24 47169 21000 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "320 E STREET NW" "ARDMORE" 73401 5802238290 "CARTER" 48821 "CI" "SO" "Y" "N" 999467 4.5 5468.25 1175774.2425 1493233.287975 86.9444122911495 0.000132286841608987 197.535115451615
"OK" "OK0007" "1" "CHICKASAW REGIONAL LIBRARY SYSTEM" 43 96833 "601 RAILWAY EXPRESS
ARDMORE, OK 73401
(34.170281, -97.163544)" "601 RAILWAY EXPRESS
ARDMORE, OK 73401
" 34.170281 -97.163544 96698 1 7 0 3 16 2 18 1322584 70090 843 160489 1554006 784054 220672 1004726 62702 23261 16663 102626 387445 1494797 0 843 0 32999 33842 33842 162726 23062 3667 5783 7378 76 16 35 51 190 13858 221056 27560 70149 237841 50546 -1 624 250 1339 396 264 16644 11797 2105 52 59351 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "HQ" "601 RAILWAY EXPRESS" "ARDMORE" 73401 5802233164 "CARTER" 48821 "MJ" "MO" "Y" "N" 2263833 2.25 9236.2275 2659490.996175 3377553.56514225 87.2080279366574 0.000131488287291209 444.108733514871
"OK" "OK0012" "18" "BLACKWELL PUBLIC LIBRARY" 33 6944 "123 WEST PADON
BLACKWELL, OK 74631
(36.802301, -97.2833)" "123 WEST PADON
BLACKWELL, OK 74631
" 36.802301 -97.2833 6934 1 0 0 0 2 2 4 168628 4641 0 0 173269 97568 28440 126008 14792 0 1352 16144 25622 167774 0 0 0 11307 11307 7610 34988 0 473 0 519 0 1 35 36 26 2288 20554 13260 2506 27180 14301 0 0 4 12 12 0 669 669 0 4 3361 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "123 WEST PADON" "BLACKWELL" 74631 5803631809 "KAY" 45478 "CI" "SO" "Y" "N" 468258 7 2058.24 550270.0008 698842.901016 95.9662439928524 0.000108583292235619 75.882662947808
