"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"NE" "NE0050" "053C" "CHADRON PUBLIC LIBRARY" 33 5787 "507 BORDEAUX STREET
CHADRON, NE 69337
(42.826233, -103.000066)" "507 BORDEAUX STREET
CHADRON, NE 69337
" 42.826233 -103.000066 5787 1 0 0 0 3 3 6 295173 2100 0 6750 304023 188486 40549 229035 40099 12000 2500 54599 55545 339179 0 0 0 0 0 0 38479 15858 1028 7870 2519 0 5 19 24 85 2600 59101 1189 5138 31019 14331 3215 30 228 376 163 15 4801 3488 165 17 8916 1872 2015 2013-10-01 2014-09-30 1 4 0 0 0 "ME" "503 BORDEAUX STREET" "CHADRON" 69337 3084320531 "DAWES" 9042 "CI" "SO" "Y" "N" 548208 7 2115.27 643878.2259 817725.346893 91.3970611751925 0.000119711407522927 97.8910522437347
"SD" "SD0097" "57543-0368" "JACKSON COUNTY LIBRARY" 43 3216 "910 MAIN ST
KADOKA, SD 57543
(43.829806, -101.508562)" "910 MAIN ST
KADOKA, SD 57543
" 43.829806 -101.508562 2015 1 0 0 1 1 0 1 55810 0 0 0 55810 NA NA NA 2929 1708 263 4900 NA 38050 0 0 0 0 0 0 9535 0 168 85 272 0 31 39 70 26 1664 4285 1955 3191 3412 985 92 0 35 45 11 3 839 165 160 6 1575 100 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 368" "KADOKA" 57543 6058372689 "JACKSON" 3274 "CO" "SO" "Y" "N" 130283 10 1114.8 153735.426 195243.99102 80.9702656566566 0.000152527752748321 29.780127187894
"SD" "SD0098" "FSCS 98" "HAAKON COUNTY PUBLIC LIBRARY" 43 1894 "140 S HOWARD
PHILIP, SD 57567
(44.038997, -101.666878)" "140 S HOWARD
PHILIP, SD 57567
" 44.038997 -101.666878 1186 1 0 0 0 0.75 0 0.75 26892 0 0 717 27609 NA NA NA 1270 0 154 1424 NA 26791 1481 0 0 0 1481 1481 8671 0 188 0 377 0 35 39 74 1 1560 7913 240 638 6993 2848 0 0 39 10 10 0 216 216 0 8 2095 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 481" "PHILIP" 57567 6058592442 "HAAKON" 1847 "CO" "SO" "Y" "N" 120441 14.25 922.185 141994.92645 180333.5565915 70.3437385333006 0.000202091993635591 36.443967970973
"SD" "SD0107" "FSCS 39" "FAITH PUBLIC LIBRARY" 43 27202 "204 W FIFTH ST
FAITH, SD 57626
(45.019129, -102.041455)" "204 W FIFTH ST
FAITH, SD 57626
" 45.019129 -102.041455 17041 1 0 0 0 0.95 0.53 1.48 46890 0 0 1400 48290 NA NA NA 3290 4600 4300 12190 NA 45390 0 0 6000 7000 13000 15900 18171 11494 130 3225 1300 0 31 39 70 33 2180 9500 1500 581 10566 8200 616 5 66 520 500 10 7760 7500 60 9 6200 300 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 172" "FAITH" 57626 6059672262 "MEADE" 26951 "MJ" "SO" "Y" "N" 255647 3 2670.18 302231.1006 383833.497762 78.9720618153754 0.000160344122927544 61.5454455488594
"SD" "SD0112" "FSCS 63" "RAPID CITY PUBLIC LIBRARIES" 13 105761 "610 QUINCY STREET
RAPID CITY, SD 57701
(44.07794, -103.22831)" "610 QUINCY STREET
RAPID CITY, SD 57701
