"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
" 48.512557 -110.96449 2320 1 0 0 0 1 0 1 114280 3027 0 0 117307 NA NA NA 12359 3033 2417 17809 NA 109317 0 0 0 0 0 4417 23367 13563 1479 9932 1798 0 0 34 34 15 2028 13780 3536 1310 18781 3550 7977 0 0 38 24 2 443 183 54 9 6240 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "PO BOX 458" "CHESTER" 59522 4067595445 "LIBERTY" 2359 "CO" "SO" "Y" "N" 346972 14.25 1149.9225 407302.649325 517274.36464275 70.4506241443245
"MT" "MT0015" "933" "CHOTEAU/TETON PUBLIC LIBRARY" 43 2828 "17 MAIN AVENUE NORTH
CHOTEAU, MT 59422
(47.81158, -112.182952)" "17 MAIN AVENUE NORTH
CHOTEAU, MT 59422
" 47.81158 -112.182952 2805 1 0 0 0 1 0.7 1.7 86056 3068 0 9300 98424 NA NA NA 9982 919 1901 12802 NA 90835 0 0 0 0 0 1875 18930 13563 1473 9932 3840 0 0 34 34 35 2080 18980 7280 3144 31281 9370 2527 103 112 124 53 17 2145 1196 292 16 18460 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "PO BOX 876" "CHOTEAU" 59422 4064662052 "TETON" 6064 "CC" "SO" "Y" "N" 316334 10 1103.4 371401.758 471680.23266 51.3771389544982
"MT" "MT0018" "934" "CONRAD PUBLIC LIBRARY" 33 4261 "15 4TH AVENUE SW
CONRAD, MT 59425
(48.169061, -111.947163)" "15 4TH AVENUE SW
CONRAD, MT 59425
" 48.169061 -111.947163 4226 1 0 0 0 2 0.7 2.7 108922 3591 0 2100 114613 87968 12464 100432 9098 875 3930 13903 9606 123941 0 0 0 0 0 0 17301 13563 228 9932 1118 0 2 34 36 3 1976 24336 4160 3578 24398 10704 1396 82 84 156 147 4 2688 2157 15 12 13000 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "15 4TH AVENUE SW" "CONRAD" 59425 4062715751 "PONDERA" 6219 "CO" "SO" "Y" "N" 242990 10 1683.3 286267.761 363560.05647 58.195054268029
"MT" "MT0019" "938" "GLACIER COUNTY LIBRARY" 33 13399 "21 1ST AVENUE SE
CUT BANK, MT 59427
(48.634978, -112.331789)" "21 1ST AVENUE SE
CUT BANK, MT 59427
" 48.634978 -112.331789 13290 1 2 0 0 1 3.25 4.25 261261 7429 0 0 268690 119142 50453 169595 25148 3139 8611 36898 49113 255606 14980 0 0 0 14980 14980 35872 13563 651 9932 1315 0 4 34 38 61 4108 44304 4264 2044 36033 16158 2638 245 301 189 126 43 2263 2050 58 11 10712 1137 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "21 1ST AVENUE SE" "CUT BANK" 59427 4068734572 "GLACIER" 13696 "CO" "MO" "Y" "N" 493182 4.5 2446.365 579885.18705 736454.1875535 94.637645831922
"MT" "MT0022" "942" "DENTON PUBLIC LIBRARY" 43 557 "515 BROADWAY
DENTON, MT 59430
(47.319491, -109.950155)" "515 BROADWAY
DENTON, MT 59430
" 47.319491 -109.950155 552 1 0 0 0 0.38 0 0.38 12800 1868 0 400 15068 NA NA NA 1578 180 1070 2828 NA 13719 0 0 0 0 0 658 6030 0 128 0 346 0 1 34 35 1 2080 2184 312 289 1560 820 0 0 30 4 2 1 47 34 5 2 936 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "PO BOX 986" "DENTON" 59430 4065672571 "FERGUS" 11442 "CI" "SO" "Y" "N" 84655 22.5 432.975 99552.93075 126432.2220525 58.9286467053733
