"Base..Long.Name." "Base..Short.Name." "Base..Abbreviation." "Longitude" "Latitude" "5_Miles" "Std_5_Miles" "10_Miles" "Std_10_Miles" "15_Miles" "Std_15_Miles" "20_Miles" "Std_20_Miles" "25_Miles" "Std_25_Miles" "30_Miles" "Std_30_Miles" "35_Miles" "Std_35_Miles" "40_Miles" "Std_40_Miles" "45_Miles" "Std_45_Miles" "50_Miles" "Std_50_Miles" "55_Miles" "Std_55_Miles" "60_Miles" "Std_60_Miles" "65_Miles" "Std_65_Miles" "70_Miles" "Std_70_Miles" "75_Miles" "Std_75_Miles" "80_Miles" "Std_80_Miles" "85_Miles" "Std_85_Miles" "90_Miles" "Std_90_Miles" "95_Miles" "Std_95_Miles" "100_Miles" "Std_100_Miles"
"Eglin AFB" "eglin" "egln" -86.5533382 30.4635583 56945.9500000001 0.0021283433919276 374045.640581091 0.0117217740949714 374045.640581091 0.0144693866368314 374045.640581091 0.0143631929722866 374045.640581091 0.0160529191210211 374045.640581091 0.0165841002873547 381415.857373715 0.00372371806959862 387893.937143156 0.00415578572849927 387595.007007376 0 387595.007007376 0 387716.337759958 0 391605.954002953 0 391793.729867502 0 392448.564728569 0 391991.14135356 0 391934.970507344 0 393361.295905893 0 393902.351237765 0 397785.596782279 0 397816.362403591 0
"Ellsworth AFB" "ellsworth" "ells" -103.0748767 44.1463938 0 0 1636415.8675 0.0512817021325589 1636415.8675 0.0633022586460813 1305678.20429426 0.0501374858395693 1189889.18173994 0.0510664815335771 1095941.43721754 0.0485908689529108 1095941.43721754 0.036754375997062 987731.906638037 0.0327986716724756 953890.885996643 0.0271536735419657 951781.87129639 0.0273200403630783 938480.241414607 0.0266702070469107 931624.468797715 0.02615479830846 931624.468797715 0.0262884316248424 926077.195661767 0.0260813621311422 919991.562288773 0.0260198932798073 916045.041459297 0.026103506959992 911618.309091828 0.0258888316726807 911618.309091828 0.0261587264229277 910025.591707912 0.0258949438581151 902205.383005991 0.0255417714107119
"FE Warren AFB" "fe warren" "fewr" -104.8629746 41.1446846 4675813.60750001 0.174757590195752 4675813.60750001 0.146529794418033 4675813.60750001 0.180876736923252 4675813.60750001 0.179549247098914 4675813.60750001 0.200671922147145 4675813.60750001 0.20731203195228 4653035.78669699 0.201189590057627 4643567.93842452 0.207368638586237 4632712.03606683 0.20355175842045 4624190.20215564 0.205151801751596 4629826.99613273 0.205420088034038 4623788.85033576 0.204977953580292 4608609.77219275 0.205348588379544 4597919.80165978 0.205544477759171 4586322.2931582 0.206696897621449 4573259.14832069 0.208252485168405 4557935.64344912 0.208035707243251 4550351.86275904 0.210013664854513 4543716.51926473 0.20958661865693 4547517.06503466 0.210136823840628
"Fairchild AFB" "fairchild" "frch" -117.6438555 47.6182629 0 0 0 0 3100880.04393368 0.11995282768276 3517811.42535158 0.135082457488193 3241189.86933169 0.139102166108456 2739142.5924184 0.121445648673944 2576422.92818061 0.105193182213951 2576422.92818061 0.108660317724296 2513314.41159311 0.101927442694734 2454591.24867559 0.100091697143411 2330282.8769719 0.0940668977385804 2330282.8769719 0.0938962322889796 2330282.8769719 0.0943996621980817 2314954.65588089 0.0939634319751245 2289498.60655377 0.0935092848121144 2257950.7197896 0.0929376438242673 2248667.5392093 0.0926793266894455 2222523.05926892 0.0923950442458085 2211353.0198659 0.091680124685451 2199702.57166538 0.0912457721821788
"Goodfellow AFB" "goodfellow" "gdfl" -100.4003209 31.4346088 3536467.39500001 0.132174755376207 3536467.39500001 0.110825170516685 3536467.39500001 0.136802861777264 3536467.39500001 0.135798838761156 3536467.39500001 0.151774593543902 3493039.37971151 0.154871248574962 3442565.96780196 0.145232720706386 3442565.96780196 0.150019547310803 3400517.88590744 0.144468514245223 3400517.88590744 0.145897006599263 3390539.65803163 0.145408802475106 3390539.65803163 0.145247809140624 3372121.99875966 0.145134669566278 3361265.76660572 0.145102402785085 3352379.47659233 0.145888119583811 3343553.48416006 0.147006513869179 3338795.09967495 0.147135181982464 3326327.40341159 0.148167162962316 3318670.95173517 0.147657666390295 3308456.11695118 0.147391977685788
"Grand Forks AFB" "grand forks" "grnf" -97.3824492 47.9525204 0 0 0 0 245589.915 0.00950027228955547 936046.377868627 0.0359437814472329 936046.377868627 0.0401723083153866 936046.377868627 0.0415015851543471 850018.249862816 0.0253859870868695 850018.249862816 0.0262227015529745 833302.5261727 0.0213715072273094 823820.049434953 0.021123649841663 823820.049434953 0.0211178986261079 834034.62863496 0.0214282148368141 834034.62863496 0.0215360460058205 831216.0476331 0.0214449768052932 813339.514691457 0.0207640738021641 844384.803280451 0.0225344407852883 840735.430430544 0.0223479728565962 837853.997969413 0.0224316239352526 832856.993154372 0.0219938885970095 830742.271532405 0.0219229486707233
"Gunter AFB" "gunter" "gntr" -86.2521159 32.4107172 7284675.0575 0.272263260529852 5067907.87567101 0.158817173114102 4816535.86008688 0.186320363208862 4816535.86008688 0.184952921544258 4615934.05099358 0.198102070842083 4506317.04633586 0.199797045373794 4428925.8426936 0.190829570616284 4340042.08312287 0.192874963799737 4243408.41776866 0.184884796939392 4181384.00733719 0.183709467870415 4149593.35920972 0.182165240643642 4068014.47006115 0.178060049058784 4027041.31770522 0.177027632479074 3962978.12849001 0.174511390795426 3931030.57598173 0.174404081419006 3892988.93633234 0.174371361340619 3836039.00344253 0.171974332051596 3800356.71516746 0.172118526435964 3742231.75738222 0.169069667388618 3716888.37434701 0.168074591559314
"Hanscom AFB" "hanscom" "hnsc" -71.2766852 42.457231 1880610.79020847 0.0702874488550624 1854244.70438652 0.0581079825121069 2384453.63264652 0.0922389617340827 2293121.26489239 0.088054877969799 2245887.59624656 0.0963867721635283 2199985.26417623 0.097540974398528 2166824.11110743 0.0862584949250863 2144947.88404825 0.0880569363025386 2126947.00099532 0.0834012712640823 2110976.62244775 0.0834525904004371 2098989.14073174 0.0828667232296013 2087831.12427371 0.082153529922999 2078016.12900022 0.0821148909225205 2068250.65501529 0.0819056524393356 2059741.97171978 0.0821868636895721 2052160.47536843 0.0826881802568349 2045402.62357547 0.0825255013635585 2040913.2453078 0.0832188128257469 2037071.20028427 0.0828697663021474 2033307.47363708 0.0828196856019713
"Hill AFB" "hill" "hill" -111.9939817 41.1321102 0 0 7045326.53250001 0.220785158492898 7630906.51055867 0.295190010821287 6520073.80632128 0.250368051685503 6520073.80632128 0.279822048756836 6378365.55643948 0.28279825395925 6262338.8567708 0.275583482604963 6343971.74346636 0.288564686058074 5966481.90824008 0.26750552010726 5821880.6815257 0.263148459082672 5587251.42533964 0.251782436018865 5456339.15853161 0.245300988431763 5422707.38338451 0.244993143319438 5386617.06059059 0.244092444696478 5336906.14329469 0.243685716008196 5306259.83193501 0.244759870748026 5291988.93424627 0.244704351565883 5264055.92424649 0.246075117100969 5264055.92424649 0.246001480119473 5254912.42381373 0.245958639568009
"Holloman AFB" "holloman" "hllm" -106.099291 32.8440404 0 0 1350597.09 0.0423247653888206 1350597.09 0.0522457940037206 1090344.06961421 0.0418687469628776 974914.987968168 0.0418404327007025 916149.678917815 0.0406194231532743 916149.678917815 0.0284430709380137 916149.678917815 0.0293805459644071 906794.178406532 0.0248954041985868 906794.178406532 0.025141567833163 942474.18401074 0.0268636098375902 928906.154416243 0.0260231417773624 917505.901561525 0.0256008920635257 915106.816945679 0.0255451794688482 915106.816945679 0.0257791727282948 972760.060623665 0.0289282206595478 972760.060623665 0.0289430855916966 967771.028433074 0.0289959648755333 967771.028433074 0.0288141123277257 973171.02873322 0.0291354029671912
