"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"AZ" "AZ0009" "AE-COCHISE" "COCHISE COUNTY LIBRARY DISTRICT" 43 129628 "100 CLAWSON AVENUE
BISBEE, AZ 85603
(31.443278, -109.916922)" "100 CLAWSON AVENUE
BISBEE, AZ 85603
" 31.443278 -109.916922 82301 1 5 1 3 3 5 8 1396648 23000 39 6000 1425687 432373 178477 610850 87533 69875 23849 181257 695846 1487953 0 0 0 0 0 0 97956 3002 5785 5069 6104 0 8 27 35 64 9416 34079 11201 378 67665 11640 12933 988 358 308 209 45 3212 2473 296 25 10519 2369 2015 "2013-07-01" "2014-06-30" 1 6 0 0 0 "HQ" "P.O. DRAWER AK" "BISBEE" 85603 5204328930 "COCHISE" 127448 "LD" "MA" "Y" "N" 1429942 2.25 9949.89 1439891.89 74.1858519495879 0.000181701211515061 261.630100863711 87.0928455143102 0.000131836310237526 189.830033918537
"AZ" "AZ0026" "AE-SAFFORD" "SAFFORD CITY-GRAHAM COUNTY LIBRARY" 33 38315 "808 SOUTH 7TH AVENUE
SAFFORD, AZ 85546
(32.831331, -109.715028)" "808 SOUTH 7TH AVENUE
SAFFORD, AZ 85546
" 32.831331 -109.715028 24326 1 0 0 0 1 7.85 8.85 558485 143000 43898 35000 780383 344070 118575 462645 25959 12693 5992 44644 246685 753974 50000 0 0 0 50000 45494 38088 867 1880 176 2844 0 4 27 31 12 1759 95949 15364 11452 93413 34011 1986 120 268 410 281 5 8881 7146 56 17 10123 3499 2015 "2013-07-01" "2014-06-30" 1 6 0 0 0 "NO" "808 SOUTH 7TH AVENUE" "SAFFORD" 85546 9283483202 "GRAHAM" 37957 "CI" "SO" "Y" "N" 557477 3 4775.85 562252.85 81.5720307058309 0.000150285628504103 84.4985229404731 119.819304808182 6.96540557259127e-05 39.1631913459533
"AZ" "AZ0031" "AE-CHANDLER" "CHANDLER PUBLIC LIBRARY" 21 249423 "22 SOUTH DELAWARE STREET
CHANDLER, AZ 85225
(33.302642, -111.837484)" "22 SOUTH DELAWARE STREET
CHANDLER, AZ 85225
