"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"KS" "KS0171" "KS0262" "PRETTY PRAIRIE PUBLIC LIBRARY" 42 688 "119 W. MAIN ST.
PRETTY PRAIRIE, KS 67570
(37.780734, -98.019734)" "119 W. MAIN ST.
PRETTY PRAIRIE, KS 67570
" 37.780734 -98.019734 688 1 0 0 0 2 0 2 19858 5554 0 6370 31782 NA NA NA 9067 1150 2087 12304 NA 18261 6135 0 0 0 6135 0 13412 16 59 0 2417 0 0 52 52 39 1976 14300 325 749 8538 578 2277 121 32 18 12 3 375 145 194 1 75 75 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "119 W. MAIN ST." "PRETTY PRAIRIE" 67570 6204596392 "RENO" 63794 "CI" "SO" "Y" "N" 207096 22.5 764.4 207860.4 99.8592695249165 0.000100282056219001 20.8446683185039 114.705407185554 7.60032595321911e-05 15.798067927665
"KS" "KS0175" "KS0283" "SOUTH HAVEN TOWNSHIP LIBRARY" 43 492 "104 W. BAIRD
SOUTH HAVEN, KS 67140
(37.0485, -97.401623)" "104 W. BAIRD
SOUTH HAVEN, KS 67140
" 37.0485 -97.401623 492 1 0 0 0 0.26 0 0.26 4713 177 150 0 5040 NA NA NA 1134 0 150 1284 NA 7148 0 0 0 472 472 0 5449 0 0 0 205 0 0 52 52 3 546 748 0 180 714 234 0 0 0 6 5 0 36 26 0 1 61 0 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "BOX 227" "SOUTH HAVEN" 67140 6208925268 "SUMNER" 23528 "CI" "SO" "Y" "N" 73586 22.5 371.1 73957.1 56.775934884637 0.000310221155908952 22.943057049674 69.1581642163869 0.000209080286692897 15.4629716709753
"KS" "KS0176" "KS0011" "ATTICA CITY LIBRARY" 43 600 "125 NORTH MAIN
ATTICA, KS 67009
(37.240207, -98.225896)" "125 NORTH MAIN
ATTICA, KS 67009
" 37.240207 -98.225896 600 1 0 0 0 0.48 0.03 0.51 8000 5423 0 6482 19905 NA NA NA 1727 99 0 1826 NA 16412 0 0 0 0 0 0 12521 0 210 0 708 0 0 52 52 18 980 2355 0 461 2741 998 0 0 124 11 11 0 315 315 0 2 87 0 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "BOX 137" "ATTICA" 67009 6202547767 "HARPER" 5818 "CI" "SO" "Y" "N" 175031 22.5 481.5 175512.5 64.6123842705664 0.000239534716204769 42.0413368778895 82.3039258329502 0.000147624655645633 25.9099723740042
"KS" "KS0177" "KS0069" "DIXON TOWNSHIP LIBRARY" 43 643 "120 W WALNUT
ARGONIA, KS 67004
(37.265766, -97.764852)" "120 W WALNUT
ARGONIA, KS 67004
" 37.265766 -97.764852 643 1 0 0 0 0.3 0.08 0.38 15000 4368 120 0 19488 NA NA NA 1365 0 775 2140 NA 13425 0 0 0 0 0 0 18362 0 134 0 236 0 0 52 52 0 770 1946 0 573 1030 490 0 1 145 6 5 1 495 395 100 1 276 0 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "PO BOX 95" "ARGONIA" 67004 6204356979 "SUMNER" 23528 "CI" "SO" "Y" "N" 243561 22.5 491.025 244052.025 64.6301210424581 0.000239403260791278 58.4268505877144 87.5862154672102 0.000130355235198964 31.8134591196586
"KS" "KS0179" "KS0299" "UDALL PUBLIC LIBRARY" 42 748 "109 E. FIRST ST
UDALL, KS 67146
(37.387419, -97.117099)" "109 E. FIRST ST
UDALL, KS 67146
" 37.387419 -97.117099 748 1 0 0 0 0.45 0 0.45 7640 4255 0 0 11895 NA NA NA 890 0 0 890 NA 12539 0 0 0 0 0 0 2425 0 0 0 310 0 0 52 52 0 868 1905 64 625 2464 711 0 0 386 25 12 1 172 66 6 2 516 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "109 E. FIRST ST" "UDALL" 67146 6207823435 "COWLEY" 35963 "CI" "SO" "Y" "N" 35645 22.5 572.4 36217.4 84.9456922521019 0.000138585336338035 5.01920056028914 118.912100612674 7.07209193597716e-05 2.56132782482059
"KS" "KS0183" "KS0246" "OXFORD PUBLIC LIBRARY" 42 1021 "115 SOUTH SUMNER
OXFORD, KS 67119
(37.273499, -97.169006)" "115 SOUTH SUMNER
OXFORD, KS 67119
" 37.273499 -97.169006 1021 1 0 0 0 0.7 0.35 1.05 43500 6165 0 83 49748 NA NA NA 3548 0 143 3691 NA 38011 0 0 0 0 0 0 9685 0 53 0 508 0 0 52 52 2 1856 6708 104 370 5076 1679 0 55 158 3 2 0 262 152 0 2 304 87 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "P.O. BOX 266" "OXFORD" 67119 6204552221 "SUMNER" 23528 "CI" "SO" "Y" "N" 133314 14.25 593.9775 133907.9775 76.758083278446 0.000169727321303225 22.7278423222076 107.932444356071 8.58412384457085e-05 11.4948266263601
"KS" "KS0189" "KS0037" "CALDWELL PUBLIC LIBRARY" 43 1035 "120 S. MAIN ST.
CALDWELL, KS 67022
(37.030674, -97.606971)" "120 S. MAIN ST.
CALDWELL, KS 67022
