"pop" "long" "lat" "miles"
4289 -115.068065221 36.2513958309 1.18471315501667
5200 -115.072779147 36.2350587456 1.30240261698787
5911 -115.070002695 36.2246337487 1.57952174718745
3293 -115.085169252 36.2275433299 2.14403068351622
7841 -115.059470968 36.2720081158 2.17063199138607
6027 -115.089237613 36.2364193274 2.1718390311693
4690 -115.022852748 36.214329209 2.43799463412375
4074 -115.055271704 36.2053986351 2.50388352839608
2740 -115.036243915 36.2061502274 2.57126018448761
3130 -115.071151473 36.2068823079 2.64488091175809
6367 -115.094272484 36.2248639403 2.68193506320076
3958 -115.087641657 36.2156972317 2.71839954683136
3771 -115.035258367 36.1993092422 3.03917138172065
3232 -115.103164757 36.2258241791 3.11412214493283
3364 -115.089319261 36.2067549545 3.21983938876583
2550 -115.052999488 36.1925689398 3.38114328062684
3789 -115.11295402 36.2445776802 3.47406096030395
3114 -115.034945265 36.1923320316 3.50880752181883
5513 -115.071013278 36.1922489411 3.58314534688325
3037 -115.089265455 36.1994222472 3.61171342111684
4747 -115.113347116 36.2232954701 3.70787459708215
2913 -115.017345824 36.1934678709 3.80629315823823
4443 -115.108767814 36.2718804198 3.85920171176491
5309 -115.102490703 36.2040964233 3.87075921949641
3204 -115.053024983 36.1851840307 3.8917364346797
4104 -115.034743179 36.1851151863 3.99638395098626
6351 -115.089282161 36.1920102907 4.03614742532635
3874 -115.071210262 36.1848427436 4.07568863455609
2684 -115.125558421 36.2396498836 4.17228444090475
1922 -115.110739261 36.2053452032 4.17266358545336
4798 -115.117507106 36.213594352 4.1900503592635
6727 -115.125844215 36.2542062012 4.27852269962782
3255 -115.085219582 36.1857009918 4.3060524705236
3060 -115.11628422 36.2073887538 4.3463556336598
4348 -114.99421589 36.1973201046 4.3906590123857
2635 -115.053055631 36.1778153633 4.40127219935139
4590 -115.03474624 36.1777798412 4.49227854851703
4175 -115.112677538 36.1996986575 4.49987710304193
5104 -115.071291604 36.1774557261 4.56970181097118
5728 -115.125922298 36.2689172771 4.60164073482784
3788 -115.092239689 36.1837532843 4.61056834730027
5840 -115.107199516 36.1920951433 4.64160412171166
4653 -115.126604748 36.2064036222 4.87408764437133
2695 -115.102756537 36.1846041664 4.88367541225593
5205 -115.053249329 36.1705561353 4.90352269068933
6235 -115.093355075 36.1772422936 5.03441992042684
5385 -115.141454828 36.2412664016 5.05733321048683
5103 -115.071226356 36.1700823788 5.0643177231322
2758 -115.111651175 36.1847869833 5.18421147388948
3684 -115.035267252 36.1666890317 5.2413925468706
3782 -115.143161108 36.2250411924 5.27607643167356
3634 -115.123060844 36.1910264262 5.33009368432678
3678 -115.144450289 36.2580172029 5.34861072756921
2757 -114.956890045 36.2576194431 5.35766798234034
6160 -115.053539747 36.1631128792 5.41864970096715
4574 -115.130477146 36.1963758126 5.42910140842096
3076 -115.144099251 36.2652521709 5.45901128505202
5326 -115.093104817 36.1698743805 5.48310436842377
4649 -115.071267863 36.1627290255 5.56158931252269
3527 -115.141418723 36.2077722932 5.56625852957749
2288 -115.111168841 36.1773269987 5.56813722387838
4308 -115.1439776 36.272751051 5.63091951385234
5503 -115.120307288 36.1803947429 5.73270805336403
3438 -115.110880048 36.1707020797 5.93043068218423
5297 -115.092869494 36.1625447176 5.93956287406909
4389 -115.157429031 36.241900635 5.94860376293211
6023 -115.052835398 36.1536607309 6.07139457686552
3491 -115.129977857 36.1809614792 6.08382888656099
4339 -115.033106249 36.153463921 6.16366393664622
3105 -115.045221207 36.1516340145 6.21835455329696
1995 -115.120519165 36.1708185399 6.24409153230404
4769 -115.069242691 36.1522255541 6.25486066939095
4781 -115.16182328 36.228383698 6.25946008872014
2614 -115.157245241 36.270443881 6.26752178268753
1837 -115.156441268 36.2104423686 6.27190042392556
7220 -115.162280888 36.2541099446 6.28039543790895
6274 -115.039238949 36.1507743368 6.30316401351236
4517 -115.161392855 36.2212744938 6.32580871861909
5752 -115.151421168 36.2844464695 6.35233266669794
2194 -115.110683689 36.163202291 6.35941407718193
2865 -115.13820223 36.1820367907 6.3767798383445
4746 -115.138591036 36.3005759765 6.38079403481833
2894 -115.078427751 36.1511560148 6.43116904423201
4239 -115.086854603 36.152173255 6.49292598027006
3958 -115.05937308 36.1477434926 6.49727610659464
2753 -115.129910467 36.170824361 6.58321840113745
4127 -115.12054003 36.1632850958 6.66036402462583
5577 -115.165558481 36.268098791 6.66177606797474
2595 -115.158529386 36.1993837065 6.6777420089639
3852 -115.096334827 36.1516998616 6.70622102262644
2877 -115.106218688 36.1543752944 6.76898743717984
3819 -115.03834361 36.1408620371 6.99037801751145
2824 -115.129274517 36.1624419404 7.00197443327488
4220 -115.05589867 36.140225547 7.00546478146637
4159 -115.175450685 36.254177108 7.009203729235
5186 -115.141183259 36.1701280153 7.05434331392567
4673 -115.158862021 36.1880277484 7.0714917338774
7336 -115.074199801 36.1406487089 7.09170870774918
3181 -115.120121527 36.1550178155 7.1196392296198
3103 -115.151171286 36.1778049927 7.1232427243258
2830 -115.175401898 36.2691344015 7.20964159080113
5504 -115.180213753 36.2394382389 7.22108829432869
6475 -115.179801278 36.2248059961 7.28858631405805
2233 -115.138907779 36.1624590299 7.34943818723608
1861 -115.088753273 36.1396043101 7.35438473753368
4162 -115.11576732 36.1478262593 7.42039495412369
4771 -115.056333955 36.1333643966 7.48067083071363
3707 -115.184570548 36.2541801727 7.5142119255119
3999 -115.074101969 36.1333158915 7.58991658934643
5019 -115.178102716 36.2834547113 7.67244007199054
3385 -115.18431777 36.2689283388 7.68667076987685
2517 -115.174350005 36.192095361 7.69265473147098
