"pop" "long" "lat" "miles" "weight" "fact"
2698 -97.2657383351 37.6250284253 0.916732570373176 1.18991154120998 3210.38133818453
2224 -97.2337625268 37.6443549635 1.29580916131554 0.595549559664217 1324.50222069322
6400 -97.2401470054 37.6577965448 1.89531618557042 0.278379119725766 1781.6263662449
2350 -97.2738569512 37.6528280232 1.89917281591995 0.277249664551139 651.536711695178
4383 -97.2913074074 37.6424235609 2.30293724578951 0.188554018446402 826.43226285058
4102 -97.2728289829 37.6634489807 2.47771983390096 0.16289044334517 668.176598601886
1732 -97.2884614889 37.6526416807 2.48504287598482 0.161931831319217 280.465931844883
3694 -97.2561248165 37.6687143388 2.56003008961448 0.152584303726674 563.646417966335
5017 -97.2352669768 37.6688744467 2.70686503567212 0.136479302795883 684.716662126944
2929 -97.3011224639 37.6395073505 2.7728834853209 0.130057906070198 380.93960687961
2744 -97.2667348596 37.6720059214 2.89866943370922 0.119015251349287 326.577849702444
2229 -97.2414288258 37.6758481442 3.08941073377149 0.104772835560799 233.538650465021
1852 -97.2846035912 37.6680281465 3.09031143803561 0.104711770137996 193.926198295568
2134 -97.2911256036 37.6639535735 3.10587736910871 0.103664818456548 221.220722586274
5982 -97.2041542464 37.6028864404 3.27633619037614 0.0931586275849142 557.274910212957
7886 -97.2078157256 37.6647392568 3.29651939775217 0.0920213772231841 725.68058078203
4404 -97.2925962769 37.5959137474 3.35912299017258 0.0886233554879319 390.297257568852
3082 -97.2810448874 37.6753929371 3.41844356966889 0.0855742634393523 263.739879920084
4446 -97.3124695397 37.6212934012 3.42382047008777 0.0853056962066753 379.269125334879
3154 -97.3071755441 37.6551089252 3.4501929335943 0.084006567008566 264.956712345017
773 -97.259135822 37.6854309106 3.72739346980941 0.0719763003871794 55.6376801992897
3554 -97.2413164609 37.6869317411 3.84724252518527 0.0675617469970978 240.114448827686
2778 -97.3085806188 37.6657280657 3.9086127125976 0.0654567923916591 181.838969264029
3104 -97.2717782559 37.6865236283 3.93992930356352 0.064420359161656 199.96079483778
2037 -97.2876532926 37.6820091313 3.99428077767084 0.0626791097443488 127.677346549239
4691 -97.3250489271 37.6334515512 4.03467237393399 0.0614304152103203 288.170077751613
2024 -97.3033056557 37.6755635894 4.1471046448288 0.0581446836118143 117.684839630312
4693 -97.3242980362 37.6528141092 4.24582423711232 0.0554722748676555 260.331385953907
3708 -97.2789187718 37.5710064073 4.4731526702806 0.0499772733056541 185.315729417366
2077 -97.2873594608 37.6908569977 4.52860989391669 0.0487607276477754 101.276031324429
2053 -97.3034934441 37.6827815569 4.53013035817813 0.0487280016570746 100.038587401974
3157 -97.3242647859 37.6682588654 4.71622951363576 0.0449583264575439 141.933436626466
2233 -97.3004154584 37.6899481555 4.82953376926176 0.0428735638698323 95.7366681213356
3762 -97.2424597666 37.7016330117 4.84905929679333 0.0425289842379883 159.994038703312
4096 -97.2078758337 37.6939323008 4.90952039388279 0.0414879392210406 169.934599049382
1814 -97.3192927312 37.6801285353 4.99470527649883 0.04008485032993 72.7139184984929
4539 -97.3385423638 37.6534378763 4.99909401969634 0.0400144996256521 181.625813800835
