"pop" "long" "lat" "miles"
"1" 4117 -99.2796217845 34.6545341776 0.384440529864492
"2" 4669 -99.3307783013 34.6455335604 2.62301301132434
"3" 3678 -99.316907574 34.6207657729 2.78469606630808
"4" 2445 -99.2450185181 34.6130674178 3.50671169192621
"5" 2037 -99.3493444435 34.6245770668 4.09443365813889
"6" 5795 -99.3539472359 34.6716585334 4.15079783119825
"7" 1662 -99.3769755796 34.7438196695 8.24795503478149
"8" 1139 -99.1196827363 34.5223867556 12.9853761820651
"9" 2043 -99.5590373395 34.5394246532 17.4100290558727
"10" 3668 -99.0630869034 34.849336974 18.6223424779765
"11" 3613 -99.5641181631 34.8486400036 20.91049914282
"12" 2387 -99.0194139971 34.4136377041 22.3633972637988
"13" 1760 -99.0176065795 34.3612865887 25.212310283177
"14" 1219 -98.9867507449 34.3714801271 25.7794099285693
"15" 4166 -99.0428189667 35.0157168941 28.7114927898892
"16" 2626 -99.5576279053 35.0170122256 29.6406250643931
"17" 4906 -98.7348454101 34.5852421535 31.6656734023641
"18" 2922 -99.8462374872 34.7444327039 32.5460241551759
"19" 2955 -99.3402870458 34.1501947012 34.8162505222855
"20" 2737 -99.2561929754 34.1360398142 35.6919602888423
"21" 4139 -99.7461482502 34.2898365669 36.2846220377486
"22" 5994 -99.3141735631 34.1271049063 36.3090128956032
"23" 1612 -98.7679305641 35.0037003888 38.1647990793631
"24" 2328 -99.1968141572 35.2043379192 38.5718125306155
"25" 1487 -98.7363361436 34.3060038436 39.3793935889599
"26" 1849 -99.2385422631 34.0783142478 39.7360756408928
"27" 5940 -98.5862674352 34.7812365333 40.7447701907941
"28" 137 -98.5668424793 34.6763942242 40.9102981184245
"29" 5919 -98.5370621715 34.5108648094 43.7065131529877
"30" 5993 -99.5803597071 35.2441655977 44.2822596120575
"31" 4769 -98.5055965668 34.6126112208 44.456866240073
"32" 4018 -98.4834532253 34.6307945496 45.6532802770992
"33" 6450 -98.4661633977 34.6270759322 46.6464168883604
"34" 7888 -98.4622769965 34.608276914 46.937547490458
"35" 3500 -98.9455777592 35.2747411893 47.2188831432748
"36" 6958 -98.4557738092 34.5840163646 47.4493575658033
"37" 5830 -98.4485442181 34.6272472197 47.6480446938267
"38" 2785 -98.9188422884 34.0297303408 47.8287034675067
"39" 2509 -98.4352670868 34.6205546137 48.4233874839398
"40" 2998 -98.4308599888 34.6346547973 48.6367584643577
"41" 1534 -98.4307864321 34.6051071616 48.7412906926208
"42" 2809 -98.4265364351 34.619493324 48.9233786456696
"43" 2909 -98.4224655882 34.5978169591 49.2514673589678
"44" 2074 -98.4134315279 34.6124236214 49.6947682783906
"45" 2050 -98.4119301151 34.5882820074 49.9057551662912
