"pop" "long" "lat" "miles" "weight" "fact"
2245 -103.318655956 34.3885868819 0.0852002324836075 137.758511133794 309267.857495368
4966 -103.231579828 34.4066831916 5.08611085802802 0.0386570185889835 191.970754312892
4235 -103.231767527 34.4266564812 5.5584003170712 0.03236684417037 137.073585061517
4243 -103.221974254 34.4128246021 5.72435879352751 0.0305173140069643 129.48496333155
2297 -103.212811264 34.3863318055 6.02666747916795 0.0275324931636252 63.2421367968472
6279 -103.205398928 34.4293410281 7.00034479504323 0.0204061529471146 128.130234354933
4726 -103.17642021 34.4015817151 8.13955956552626 0.0150937860120177 71.3332326927956
3427 -103.176888245 34.4126315365 8.22457600496053 0.0147833535472933 50.6625526065742
6392 -103.181608617 34.4314459855 8.31631318289234 0.0144590023394946 92.4219429540493
4148 -103.174782732 34.3553644807 8.53315528531782 0.0137334832485771 56.9664885150976
3701 -103.344540562 34.1930444099 13.6914717669535 0.00533457382388404 19.7432577221948
1240 -103.552236303 34.4792018284 14.7100114579257 0.00462140444773954 5.73054151519703
4754 -103.331822487 34.1736036135 14.9738530126664 0.00445997956330132 21.2027428439345
4300 -103.355563504 34.1709008464 15.2899053000576 0.00427750384773265 18.3932665452504
4178 -103.226974724 34.6825314597 20.908355788974 0.00228749543790222 9.5571559395555
3401 -103.706351122 34.2210373868 25.057926427025 0.0015926111079735 5.41647037821788
5301 -102.80962804 34.4465925311 29.2915468316391 0.00116550834357892 6.17835972931188
3690 -103.327033751 33.885412048 34.8926549028882 0.000821357012988137 3.03080737792623
7165 -102.829869169 34.0688643238 35.6809744679279 0.000785464545646739 5.62785346955889
4968 -102.747554688 34.6536830844 37.3006054526888 0.000718734079048416 3.57067090471253
