"pop" "long" "lat" "miles" "weight" "fact"
1487 -104.696167568 38.7994922548 1.8192668943985 0.302139263847642 449.281085341443
5150 -104.71096615 38.8517373302 1.90524905787006 0.275484068913924 1418.74295490671
4669 -104.734662299 38.8323202247 1.94488760299129 0.264369277324181 1234.3401558266
4664 -104.73587735 38.8164767108 2.0556843761541 0.236639440463035 1103.6863503196
6571 -104.685463418 38.8549269112 2.16326346727949 0.213688508531054 1404.14718955756
4070 -104.702418678 38.8631973758 2.60129436741703 0.147781815943469 601.47199088992
3299 -104.737398519 38.8008604358 2.66322406927882 0.140988790758203 465.122020711312
5106 -104.750050281 38.8192223879 2.75511834314184 0.131740553423546 672.667265780627
6188 -104.743446273 38.8469750345 2.78504603531819 0.128924436996763 797.784416135967
4454 -104.752462411 38.8327754237 2.89091550923855 0.119654545626152 532.94134621888
6573 -104.735174994 38.8582721566 2.96043515233721 0.114100854064836 749.984913768166
6932 -104.750511775 38.8006764282 3.24286479265726 0.0950916354321579 659.175216815718
6349 -104.736541091 38.786691498 3.35114463926235 0.0890458439170662 565.352063029453
2466 -104.762375851 38.8202091799 3.40408413731652 0.0862977411875055 212.810229768389
8377 -104.700476783 38.8775778871 3.5919142351135 0.0775082771002422 649.286837268729
4820 -104.76700395 38.8323597211 3.66175565895506 0.0745798107873484 359.474687995019
5615 -104.764048773 38.8021992488 3.83403587323948 0.0680279926172147 381.977178545661
2933 -104.733063652 38.8757695142 3.90726012743432 0.0655021188903675 192.117714705448
3076 -104.726259485 38.8787773499 3.945267977269 0.0642461319170209 197.621101776756
6338 -104.766611733 38.8494223354 3.96735530029094 0.0635327725547703 402.670712452134
4328 -104.773409441 38.8185929994 4.0077282298471 0.0622591909272359 269.457778333077
1602 -104.753973818 38.7855984117 4.03351343692525 0.0614657215063012 98.4680858530945
5636 -104.747311475 38.8759206141 4.32386148462149 0.0534880117108966 301.458434002613
4478 -104.775555752 38.8055047357 4.32468868777813 0.0534675518702894 239.427697275156
4366 -104.714763699 38.7634289609 4.38141481144355 0.0520920268687697 227.433789309049
3169 -104.767147955 38.8638082542 4.49543263662585 0.0494831127879088 156.811984424883
3672 -104.785620709 38.8331862453 4.66463235698573 0.0459584273307652 168.75934515857
7285 -104.699591598 38.8932328407 4.6745083627929 0.0457644363526712 333.39391882921
4326 -104.784850458 38.8456050078 4.79634476863922 0.0434689563590123 188.046705209087
4881 -104.729859791 38.8924481378 4.89932130647404 0.0416608527834428 203.346622435984
4691 -104.747085732 38.7628584953 5.04223846803194 0.0393326526859331 184.509473749712
3182 -104.785543238 38.8550352942 5.05690326323848 0.0391048575663919 124.431656776259
3837 -104.734322387 38.7572454046 5.08906373841908 0.0386121708759491 148.154899651017
4369 -104.747541661 38.8901086595 5.15231825385152 0.0376699147807622 164.57985767715
6348 -104.764304969 38.7689347954 5.2500944694815 0.0362798734729231 230.304636806116
5595 -104.796002507 38.8120974554 5.27964657600983 0.0358748667845421 200.719879659513
3013 -104.785359151 38.8644711681 5.34384361156302 0.0350180952831409 105.509521088103
5902 -104.773908344 38.8783919357 5.41586603671563 0.0340929179452207 201.216401712693
7154 -104.709131645 38.9042435872 5.46035008741281 0.0335396884160853 239.942930928674
2997 -104.801448167 38.8299097492 5.49636239619622 0.0331016224283707 99.2055624178269
6360 -104.716733901 38.7459650307 5.58938565668027 0.032008980932267 203.577118729218
1985 -104.802288354 38.8430465024 5.66250045608408 0.031187710914378 61.9076061650403
4366 -104.728530978 38.9069253 5.83362781019092 0.0293847882362648 128.293985439532
2613 -104.801937853 38.8546514096 5.86737185150502 0.0290477684489534 75.9018189571151
3601 -104.75828991 38.9011701278 6.10561486276425 0.0268250900312836 96.5971492026521
5405 -104.798664526 38.7822769122 6.12555932162409 0.0266506925949236 144.046993475562
2737 -104.813245471 38.830242633 6.13241660900911 0.0265911241431522 72.7799067798075
4548 -104.772031211 38.8951072654 6.18881477811297 0.0261086868786873 118.74230792427
5902 -104.812238391 38.8040654941 6.2520535403607 0.0255831856847489 150.991961911388
1564 -104.813893729 38.8447622437 6.2987267254888 0.0252054506602511 39.4213248326328
12193 -104.673088931 38.735369795 6.40692254292094 0.0243613332559802 297.037736390166
2285 -104.804310968 38.8698103453 6.41494591418926 0.0243004324191002 55.5264880776441
5367 -104.747109634 38.9108235711 6.42301570052345 0.0242394093363639 130.092909908265
6259 -104.615222876 38.8927311455 6.49490664023752 0.0237057758959397 148.374451332687
6963 -104.688794343 38.9197199843 6.53267888847998 0.0234324326668751 163.160028659452
3468 -104.807564797 38.7822956234 6.5474581580709 0.0233267662015767 80.8972251870681
2337 -104.814938263 38.855516002 6.5485972432212 0.0233186518341609 54.495689336434
4780 -104.71558111 38.7305326802 6.6362059042339 0.0227070279651003 108.539593673179
1973 -104.812042539 38.8649028481 6.63841097959579 0.0226919453219529 44.7712081202131
2997 -104.803139273 38.8798196224 6.71920978877785 0.0221494832279434 66.3820012341463
1546 -104.826412311 38.8272862137 6.83481408686948 0.0214065454990195 33.0945193414841
5845 -104.806038471 38.7715434496 6.85113638360029 0.0213046681594844 124.525785392187
3712 -104.824611727 38.8447578111 6.86439652456797 0.0212224380485653 78.7776900362744
9712 -104.705170036 38.9254403566 6.90892624141351 0.0209497520616815 203.46399202305
3096 -104.704453868 38.7256863384 6.92019569747711 0.0208815747776968 64.6493555117492
5474 -104.773624535 38.7427068456 6.98968593577916 0.0204684367625937 112.044222838438
4693 -104.773679758 38.9098465455 7.05937128754609 0.0200663300665487 94.1712870023132
