"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
" 38.680838 -75.394773 0 3 29.33 108090 7255 16677 718 82 1729310 2.25 8137.3125 1737447.3125 31.5781263897614 0.00100282991955766 1742.36414863004 34.1114991238644 0.000859406012656201 1493.17266703586
"KENT COUNTY PUBLIC LIBRARY" 56937 "497 SOUTH RED HAVEN LANE
DOVER, DE 19901
" 39.080051 -75.55067 1 0 9.68 42897 2588 5995 97 19 671356 2.25 5295.2475 676651.2475 4.96227134631551 0.0406105604218197 27479.1863710984 5.51965401966023 0.0328228499455864 22209.6223621864
"DEPARTMENT OF COMMUNITY SERVICES" 434965 "77 READS WAY
NEW CASTLE, DE 19720
" 39.686953 -75.612016 0 9 145.93 739817 67459 98008 1960 278 11806682 2.25 51249.6375 11857931.6375 38.9879969426624 0.000657867078032213 7800.94283786786 45.3515105571228 0.000486201714507209 5765.34669266177
"CAROLINE COUNTY PUBLIC LIBRARY" 32985 "100 MARKET STREET
DENTON, MD 21629
" 38.886832 -75.834079 1 2 20.7 68117 2289 6483 219 68 1005464 3 6073.65 1011537.65 25.2172944055591 0.00157254478427117 1590.68825560142 29.3505412156536 0.00116082772496353 1174.22094896446
"TALBOT COUNTY FREE LIBRARY" 38025 "100 W. DOVER ST.
EASTON, MD 21601
" 38.774483 -76.07828 1 1 19.53 102766 4985 7883 202 49 1508073 3 6351.75 1514424.75 40.2974909083089 0.000615806102069143 932.592002174536 45.3434327115463 0.000486374961743638 736.578279844868
"ANNE ARUNDEL COUNTY PUBLIC LIBRARY" 544403 "5 HARRY S. TRUMAN PARKWAY
ANNAPOLIS, MD 21401
" 38.981476 -76.562891 0 15 281.5 731006 77252 58552 2340 330 11313800 2.25 78972.2025 11392772.2025 58.7419766319997 0.000289803007158219 3301.65964415307 69.7956926441895 0.000205278165073062 2338.68737282459
"ENOCH PRATT FREE LIBRARY" 619493 "400 CATHEDRAL STREET
BALTIMORE, MD 21201
" 39.294555 -76.616842 1 19 384 2329187 61078 56388 2372 887 31877240 2.25 99415.7775 31976655.7775 61.6165405990302 0.00026339369618333 8422.44955681778 106.349186623088 8.84161611132896e-05 2827.25314908764
"BALTIMORE COUNTY PUBLIC LIBRARY" 809941 "320 YORK ROAD
TOWSON, MD 21204
" 39.399045 -76.6028 0 19 484.6 1480992 218805 134467 4733 450 23927211 2.25 127361.0175 24054572.0175 62.5756537909661 0.000255381367616117 6143.08949924953 106.311904258889 8.84781850520216e-05 2128.30487431155
"CALVERT LIBRARY" 89256 "850 COSTLEY WAY
PRINCE FREDERICK, MD 20678
